,Unnamed: 0,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
1181,1181,The Door in the Floor,67.0,R,111 min,06 Aug 2004,2004,"Comedy, Drama","$3,634,359",6.6,"14,780",Internet Movie Database,6.6/10,Rotten Tomatoes,67%,Metacritic,67/100
1183,1183,Ella Enchanted,53.0,PG,96 min,09 Apr 2004,2004,"Comedy, Family, Fantasy, Romance","$22,811,339",6.2,"57,870",Internet Movie Database,6.2/10,Rotten Tomatoes,50%,Metacritic,53/100
1184,1184,Envy,31.0,PG-13,99 min,30 Apr 2004,2004,Comedy,"$12,181,484",4.8,"28,850",Internet Movie Database,4.8/10,Rotten Tomatoes,8%,Metacritic,31/100
1185,1185,Eternal Sunshine of the Spotless Mind,89.0,R,108 min,19 Mar 2004,2004,"Drama, Romance, Sci-Fi","$34,126,138",8.3,"836,020",Internet Movie Database,8.3/10,Rotten Tomatoes,93%,Metacritic,89/100
1186,1186,Exorcist: The Beginning,30.0,R,114 min,20 Aug 2004,2004,"Horror, Mystery, Thriller","$41,784,746",5.1,"31,886",Internet Movie Database,5.1/10,Rotten Tomatoes,10%,Metacritic,30/100
1189,1189,Fahrenheit 9/11,67.0,R,122 min,25 Jun 2004,2004,"Documentary, Drama, War","$119,078,393",7.5,"122,889",Internet Movie Database,7.5/10,Rotten Tomatoes,82%,Metacritic,67/100
1190,1190,Fat Albert,39.0,PG,93 min,25 Dec 2004,2004,"Animation, Comedy, Family, Fantasy, Romance","$47,971,571",4.3,"10,613",Internet Movie Database,4.3/10,Rotten Tomatoes,23%,Metacritic,39/100
1192,1192,The Final Cut,43.0,PG-13,95 min,15 Oct 2004,2004,"Drama, Sci-Fi, Thriller","$529,194",6.2,"29,729",Internet Movie Database,6.2/10,Rotten Tomatoes,36%,Metacritic,43/100
1193,1193,First Daughter,31.0,PG,106 min,24 Sep 2004,2004,"Comedy, Drama, Romance","$9,026,247",5.0,"20,068",Internet Movie Database,5.0/10,Rotten Tomatoes,8%,Metacritic,31/100
1194,1194,Flight of the Phoenix,47.0,PG-13,113 min,17 Dec 2004,2004,"Action, Adventure, Drama, Thriller","$20,900,803",6.1,"49,958",Internet Movie Database,6.1/10,Rotten Tomatoes,30%,Metacritic,47/100
1195,1195,The Forgotten,43.0,PG-13,91 min,24 Sep 2004,2004,"Drama, Horror, Mystery, Sci-Fi, Thriller","$66,641,205",5.8,"62,123",Internet Movie Database,5.8/10,Rotten Tomatoes,32%,Metacritic,43/100
1196,1196,Friday Night Lights,70.0,PG-13,118 min,08 Oct 2004,2004,"Action, Drama, Sport","$60,600,000",7.2,"54,742",Internet Movie Database,7.2/10,Rotten Tomatoes,81%,Metacritic,70/100
1198,1198,Garden State,67.0,R,102 min,20 Aug 2004,2004,"Comedy, Drama, Romance","$26,706,668",7.4,"202,012",Internet Movie Database,7.4/10,Rotten Tomatoes,86%,Metacritic,67/100
1200,1200,The Girl Next Door,47.0,R,109 min,09 Apr 2004,2004,"Comedy, Drama, Romance","$14,544,008",6.7,"191,922",Internet Movie Database,6.7/10,Rotten Tomatoes,56%,Metacritic,47/100
1201,1201,Godsend,24.0,PG-13,102 min,30 Apr 2004,2004,"Action, Drama, Fantasy, Horror, Sci-Fi, Thriller","$14,285,888",4.8,"24,109",Internet Movie Database,4.8/10,Rotten Tomatoes,4%,Metacritic,24/100
1203,1203,A Good Woman,53.0,PG,93 min,13 May 2005,2004,"Drama, Comedy, Romance","$97,060",6.5,"10,914",Internet Movie Database,6.5/10,Rotten Tomatoes,38%,Metacritic,53/100
1204,1204,The Grudge,49.0,PG-13,91 min,22 Oct 2004,2004,"Horror, Mystery, Thriller","$110,175,871",5.9,"132,188",Internet Movie Database,5.9/10,Rotten Tomatoes,39%,Metacritic,49/100
1205,1205,Hair Show,34.0,PG-13,105 min,15 Oct 2004,2004,"Comedy, Romance","$201,567",5.1,"5,598",Internet Movie Database,5.1/10,Rotten Tomatoes,17%,Metacritic,34/100
1206,1206,Harold & Kumar Go to White Castle,64.0,R,88 min,30 Jul 2004,2004,"Adventure, Comedy","$18,225,165",7.1,"173,545",Internet Movie Database,7.1/10,Rotten Tomatoes,74%,Metacritic,64/100
1207,1207,Harry Potter and the Prisoner of Azkaban,82.0,PG,142 min,04 Jun 2004,2004,"Adventure, Family, Fantasy, Mystery","$249,358,727",7.9,"497,153",Internet Movie Database,7.9/10,Rotten Tomatoes,90%,Metacritic,82/100
1208,1208,Heights,59.0,R,93 min,15 Jul 2005,2005,"Drama, Romance","$1,019,588",7.0,"4,430",Internet Movie Database,7.0/10,Rotten Tomatoes,64%,Metacritic,59/100
1209,1209,Hellboy,72.0,PG-13,122 min,02 Apr 2004,2004,"Action, Adventure, Fantasy, Horror, Sci-Fi","$59,035,104",6.8,"292,836",Internet Movie Database,6.8/10,Rotten Tomatoes,81%,Metacritic,72/100
1211,1211,Hidalgo,54.0,PG-13,136 min,05 Mar 2004,2004,"Action, Adventure, Biography, Drama, Sport, Western","$67,249,474",6.7,"74,385",Internet Movie Database,6.7/10,Rotten Tomatoes,46%,Metacritic,54/100
1212,1212,Highwaymen,49.0,R,80 min,19 Feb 2004,2004,"Action, Crime, Horror, Thriller","$330,395",5.7,"8,094",Internet Movie Database,5.7/10,Rotten Tomatoes,13%,Metacritic,49/100
1213,1213,A Home at the End of the World,59.0,R,97 min,14 Oct 2004,2004,"Drama, Romance","$887,724",6.7,"12,837",Internet Movie Database,6.7/10,Rotten Tomatoes,50%,Metacritic,59/100
1214,1214,Home on the Range,50.0,PG,76 min,02 Apr 2004,2004,"Animation, Adventure, Comedy, Family, Music, Western","$49,887,802",5.3,"18,188",Internet Movie Database,5.3/10,Rotten Tomatoes,53%,Metacritic,50/100
1215,1215,Hotel Rwanda,79.0,PG-13,121 min,04 Feb 2005,2004,"Biography, Drama, History, War","$23,472,900",8.1,"316,206",Internet Movie Database,8.1/10,Rotten Tomatoes,91%,Metacritic,79/100
1217,1217,I Heart Huckabees,55.0,R,107 min,22 Oct 2004,2004,Comedy,"$12,711,889",6.6,"60,693",Internet Movie Database,6.6/10,Rotten Tomatoes,63%,Metacritic,55/100
1221,1221,In Good Company,66.0,PG-13,109 min,14 Jan 2005,2004,"Comedy, Drama, Romance","$45,489,752",6.4,"52,056",Internet Movie Database,6.4/10,Rotten Tomatoes,82%,Metacritic,66/100
1225,1225,Johnson Family Vacation,29.0,PG-13,97 min,07 Apr 2004,2004,Comedy,"$31,038,582",4.5,"6,885",Internet Movie Database,4.5/10,Rotten Tomatoes,6%,Metacritic,29/100
1228,1228,King Arthur,46.0,PG-13,126 min,07 Jul 2004,2004,"Action, Adventure, Drama, History, War","$51,726,421",6.3,"152,954",Internet Movie Database,6.3/10,Rotten Tomatoes,31%,Metacritic,46/100
1229,1229,Kinsey,79.0,R,118 min,07 Jan 2005,2004,"Biography, Drama, Romance","$10,214,647",7.1,"46,037",Internet Movie Database,7.1/10,Rotten Tomatoes,90%,Metacritic,79/100
1231,1231,Ladder 49,47.0,PG-13,115 min,01 Oct 2004,2004,"Drama, Thriller","$74,463,263",6.5,"52,918",Internet Movie Database,6.5/10,Rotten Tomatoes,41%,Metacritic,47/100
1234,1234,The Last Shot,47.0,R,93 min,05 Nov 2004,2004,"Comedy, Romance","$376,790",5.7,"4,000",Internet Movie Database,5.7/10,Rotten Tomatoes,62%,Metacritic,47/100
1235,1235,Lemony Snicket's A Series of Unfortunate Events,62.0,PG,108 min,17 Dec 2004,2004,"Adventure, Comedy, Family, Fantasy","$118,461,298",6.8,"186,287",Internet Movie Database,6.8/10,Rotten Tomatoes,72%,Metacritic,62/100
1238,1238,Little Black Book,36.0,PG-13,111 min,06 Aug 2004,2004,"Comedy, Romance, Drama","$20,422,207",5.3,"16,705",Internet Movie Database,5.3/10,Rotten Tomatoes,22%,Metacritic,36/100
1239,1239,A Love Song for Bobby Long,48.0,R,119 min,21 Jan 2005,2004,Drama,"$121,476",7.1,"24,084",Internet Movie Database,7.1/10,Rotten Tomatoes,43%,Metacritic,48/100
1240,1240,Man on Fire,47.0,R,146 min,23 Apr 2004,2004,"Action, Crime, Drama, Thriller","$77,600,000",7.7,"310,902",Internet Movie Database,7.7/10,Rotten Tomatoes,39%,Metacritic,47/100
1241,1241,The Manchurian Candidate,76.0,R,129 min,30 Jul 2004,2004,"Drama, Mystery, Sci-Fi, Thriller","$65,700,000",6.6,"98,173",Internet Movie Database,6.6/10,Rotten Tomatoes,80%,Metacritic,76/100
1242,1242,Maria Full of Grace,87.0,R,101 min,06 Aug 2004,2004,"Crime, Drama","$6,517,198",7.4,"32,930",Internet Movie Database,7.4/10,Rotten Tomatoes,97%,Metacritic,87/100
1243,1243,Mean Creek,74.0,R,90 min,29 Sep 2004,2004,"Crime, Drama","$295,919",7.2,"29,384",Internet Movie Database,7.2/10,Rotten Tomatoes,89%,Metacritic,74/100
1244,1244,Mean Girls,66.0,PG-13,97 min,30 Apr 2004,2004,Comedy,"$85,974,306",7.0,"305,398",Internet Movie Database,7.0/10,Rotten Tomatoes,84%,Metacritic,66/100
1245,1245,Meet the Fockers,41.0,PG-13,115 min,22 Dec 2004,2004,"Comedy, Romance","$279,167,575",6.3,"240,026",Internet Movie Database,6.3/10,Rotten Tomatoes,39%,Metacritic,41/100
1246,1246,The Merchant of Venice,63.0,R,131 min,18 Feb 2005,2004,"Drama, Romance","$3,300,000",7.0,"33,237",Internet Movie Database,7.0/10,Rotten Tomatoes,71%,Metacritic,63/100
1247,1247,Melinda and Melinda,54.0,PG-13,99 min,08 Apr 2005,2004,"Comedy, Drama, Romance","$3,727,614",6.4,"29,925",Internet Movie Database,6.4/10,Rotten Tomatoes,52%,Metacritic,54/100
1248,1248,Million Dollar Baby,86.0,PG-13,132 min,28 Jan 2005,2004,"Drama, Sport","$100,422,786",8.1,"592,324",Internet Movie Database,8.1/10,Rotten Tomatoes,91%,Metacritic,86/100
1251,1251,Miracle,68.0,PG,135 min,06 Feb 2004,2004,"Biography, Drama, History, Sport","$64,329,473",7.5,"43,730",Internet Movie Database,7.5/10,Rotten Tomatoes,80%,Metacritic,68/100
1256,1256,The Motorcycle Diaries,75.0,R,126 min,15 Oct 2004,2004,"Adventure, Biography, Drama","$16,680,023",7.8,"92,064",Internet Movie Database,7.8/10,Rotten Tomatoes,83%,Metacritic,75/100
1257,1257,Mr 3000,57.0,PG-13,104 min,17 Sep 2004,2004,"Comedy, Drama, Romance, Sport","$21,772,753",5.5,"13,329",Internet Movie Database,5.5/10,Rotten Tomatoes,54%,Metacritic,57/100
1259,1259,Mysterious Skin,73.0,Unrated,105 min,24 Jun 2005,2004,Drama,"$508,378",7.7,"63,034",Internet Movie Database,7.7/10,Rotten Tomatoes,85%,Metacritic,73/100
1260,1260,Napoleon Dynamite,64.0,PG,96 min,27 Aug 2004,2004,Comedy,"$44,478,018",6.9,"186,287",Internet Movie Database,6.9/10,Rotten Tomatoes,71%,Metacritic,64/100
1261,1261,National Treasure,39.0,PG,131 min,19 Nov 2004,2004,"Action, Adventure, Mystery, Thriller","$172,975,674",6.8,"287,517",Internet Movie Database,6.8/10,Rotten Tomatoes,46%,Metacritic,39/100
1262,1262,Never Die Alone,38.0,R,88 min,26 Mar 2004,2004,"Action, Crime, Drama, Thriller","$5,531,230",5.7,"5,263",Internet Movie Database,5.7/10,Rotten Tomatoes,26%,Metacritic,38/100
1263,1263,New York Minute,33.0,PG,91 min,07 May 2004,2004,"Comedy, Crime, Family, Romance","$14,018,364",4.9,"20,502",Internet Movie Database,4.9/10,Rotten Tomatoes,11%,Metacritic,33/100
1265,1265,The Notebook,53.0,PG-13,123 min,25 Jun 2004,2004,"Drama, Romance","$81,000,000",7.8,"481,951",Internet Movie Database,7.8/10,Rotten Tomatoes,53%,Metacritic,53/100
1267,1267,Ocean's Twelve,58.0,PG-13,125 min,10 Dec 2004,2004,"Crime, Thriller","$125,402,117",6.5,"335,614",Internet Movie Database,6.5/10,Rotten Tomatoes,55%,Metacritic,58/100
1269,1269,P.S.,55.0,R,97 min,10 Feb 2005,2004,"Comedy, Drama, Fantasy, Romance","$119,241",6.1,"5,808",Internet Movie Database,6.1/10,Rotten Tomatoes,54%,Metacritic,55/100
1270,1270,Palindromes,53.0,Not Rated,100 min,21 Jan 2005,2004,"Comedy, Drama","$476,497",6.8,"11,638",Internet Movie Database,6.8/10,Rotten Tomatoes,43%,Metacritic,53/100
1271,1271,Paparazzi,38.0,PG-13,84 min,03 Sep 2004,2004,"Action, Crime, Drama, Thriller","$15,552,250",5.8,"14,206",Internet Movie Database,5.8/10,Rotten Tomatoes,17%,Metacritic,38/100
1272,1272,The Passion of the Christ,47.0,R,127 min,25 Feb 2004,2004,Drama,"$368,000,000",7.1,"202,537",Internet Movie Database,7.1/10,Rotten Tomatoes,49%,Metacritic,47/100
1273,1273,The Perfect Score,35.0,PG-13,93 min,30 Jan 2004,2004,"Comedy, Crime","$10,279,192",5.7,"22,426",Internet Movie Database,5.7/10,Rotten Tomatoes,16%,Metacritic,35/100
1274,1274,The Phantom of the Opera,40.0,PG-13,143 min,22 Dec 2004,2004,"Drama, Musical, Romance, Thriller","$51,193,556",7.3,"110,632",Internet Movie Database,7.3/10,Rotten Tomatoes,33%,Metacritic,40/100
1275,1275,The Polar Express,61.0,G,100 min,10 Nov 2004,2004,"Animation, Adventure, Comedy, Family, Fantasy, Musical","$162,800,000",6.6,"157,238",Internet Movie Database,6.6/10,Rotten Tomatoes,56%,Metacritic,61/100
1276,1276,Primer,68.0,PG-13,77 min,27 May 2005,2004,"Drama, Sci-Fi, Thriller","$392,420",6.9,"90,869",Internet Movie Database,6.9/10,Rotten Tomatoes,72%,Metacritic,68/100
1277,1277,The Prince and Me,47.0,PG,111 min,02 Apr 2004,2004,"Comedy, Family, Romance","$28,108,440",5.9,"35,962",Internet Movie Database,5.9/10,Rotten Tomatoes,28%,Metacritic,47/100
1278,1278,The Princess Diaries 2: Royal Engagement,43.0,G,113 min,11 Aug 2004,2004,"Comedy, Family, Romance","$95,111,012",5.8,"68,576",Internet Movie Database,5.8/10,Rotten Tomatoes,25%,Metacritic,43/100
1281,1281,Raise Your Voice,33.0,PG,103 min,08 Oct 2004,2004,"Family, Music, Musical, Romance","$10,411,980",5.9,"25,623",Internet Movie Database,5.9/10,Rotten Tomatoes,15%,Metacritic,33/100
1282,1282,Raising Helen,38.0,PG-13,119 min,28 May 2004,2004,"Comedy, Drama, Romance","$37,379,556",6.0,"34,106",Internet Movie Database,6.0/10,Rotten Tomatoes,25%,Metacritic,38/100
1283,1283,Ray,73.0,PG-13,152 min,29 Oct 2004,2004,"Biography, Drama, Music","$75,000,000",7.7,"129,038",Internet Movie Database,7.7/10,Rotten Tomatoes,80%,Metacritic,73/100
1285,1285,Riding Giants,80.0,PG-13,105 min,13 Aug 2004,2004,"Documentary, History, Sport","$2,068,426",7.9,"4,142",Internet Movie Database,7.9/10,Rotten Tomatoes,93%,Metacritic,80/100
1286,1286,Riding the Bullet,37.0,R,98 min,03 Feb 2005,2004,"Horror, Thriller","$101,107",5.2,"8,685",Internet Movie Database,5.2/10,Rotten Tomatoes,26%,Metacritic,37/100
1288,1288,Saved!,62.0,PG-13,92 min,11 Jun 2004,2004,"Comedy, Drama","$8,786,715",6.7,"43,318",Internet Movie Database,6.7/10,Rotten Tomatoes,61%,Metacritic,62/100
1289,1289,Saving Face,65.0,R,91 min,24 Jun 2005,2004,"Comedy, Drama, Romance","$1,000,385",7.5,"9,121",Internet Movie Database,7.5/10,Rotten Tomatoes,86%,Metacritic,65/100
1290,1290,Saw,46.0,R,103 min,29 Oct 2004,2004,"Horror, Mystery, Thriller","$55,100,000",7.6,"355,330",Internet Movie Database,7.6/10,Rotten Tomatoes,49%,Metacritic,46/100
1291,1291,Scooby-Doo 2: Monsters Unleashed,34.0,PG,93 min,26 Mar 2004,2004,"Adventure, Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi","$84,045,006",5.0,"43,921",Internet Movie Database,5.0/10,Rotten Tomatoes,22%,Metacritic,34/100
1292,1292,Secret Window,46.0,PG-13,96 min,12 Mar 2004,2004,"Drama, Mystery, Thriller","$47,781,388",6.6,"171,740",Internet Movie Database,6.6/10,Rotten Tomatoes,46%,Metacritic,46/100
1293,1293,Seed of Chucky,46.0,R,87 min,12 Nov 2004,2004,"Comedy, Fantasy, Horror, Thriller","$17,016,190",4.8,"35,785",Internet Movie Database,4.8/10,Rotten Tomatoes,33%,Metacritic,46/100
1295,1295,Shark Tale,48.0,PG,90 min,01 Oct 2004,2004,"Animation, Adventure, Comedy, Family, Fantasy","$160,762,022",6.0,"156,561",Internet Movie Database,6.0/10,Rotten Tomatoes,36%,Metacritic,48/100
1296,1296,She Hate Me,28.0,R,138 min,30 Jul 2004,2004,"Comedy, Drama","$81,367",5.3,"6,979",Internet Movie Database,5.3/10,Rotten Tomatoes,19%,Metacritic,28/100
1297,1297,Shrek 2,75.0,PG,93 min,19 May 2004,2004,"Animation, Adventure, Comedy, Family, Fantasy, Romance","$436,471,036",7.2,"387,979",Internet Movie Database,7.2/10,Rotten Tomatoes,89%,Metacritic,75/100
1298,1298,Sideways,94.0,R,127 min,21 Jan 2005,2004,"Comedy, Drama, Romance","$71,444,367",7.5,"170,920",Internet Movie Database,7.5/10,Rotten Tomatoes,97%,Metacritic,94/100
1300,1300,Silver City,47.0,R,128 min,24 Sep 2004,2004,"Comedy, Drama, Mystery, Thriller","$872,141",6.1,"3,678",Internet Movie Database,6.1/10,Rotten Tomatoes,48%,Metacritic,47/100
1301,1301,Sky Captain and the World of Tomorrow,64.0,PG,106 min,17 Sep 2004,2004,"Action, Adventure, Mystery, Sci-Fi, Thriller","$37,600,000",6.1,"78,949",Internet Movie Database,6.1/10,Rotten Tomatoes,71%,Metacritic,64/100
1302,1302,Sleepover,33.0,PG,89 min,09 Jul 2004,2004,"Comedy, Family, Romance","$8,070,311",5.3,"14,501",Internet Movie Database,5.3/10,Rotten Tomatoes,15%,Metacritic,33/100
1303,1303,Metallica: Some Kind of Monster,74.0,Not Rated,141 min,30 Jul 2004,2004,"Documentary, Music","$964,464",7.5,"16,394",Internet Movie Database,7.5/10,Rotten Tomatoes,89%,Metacritic,74/100
1304,1304,Soul Plane,33.0,R,86 min,28 May 2004,2004,Comedy,"$13,922,211",4.5,"20,591",Internet Movie Database,4.5/10,Rotten Tomatoes,18%,Metacritic,33/100
1305,1305,Spanglish,48.0,PG-13,131 min,17 Dec 2004,2004,"Comedy, Drama, Romance","$42,044,321",6.4,"74,370",Internet Movie Database,6.4/10,Rotten Tomatoes,53%,Metacritic,48/100
1306,1306,Spartan,60.0,R,106 min,12 Mar 2004,2004,"Action, Crime, Drama, Mystery, Thriller","$4,291,858",6.5,"28,394",Internet Movie Database,6.5/10,Rotten Tomatoes,65%,Metacritic,60/100
1308,1308,Spider-Man 2,83.0,PG-13,127 min,30 Jun 2004,2004,"Action, Adventure, Sci-Fi","$373,377,893",7.3,"507,283",Internet Movie Database,7.3/10,Rotten Tomatoes,93%,Metacritic,83/100
1309,1309,The SpongeBob SquarePants Movie,66.0,PG,87 min,19 Nov 2004,2004,"Animation, Adventure, Comedy, Family, Fantasy","$85,373,733",7.0,"72,012",Internet Movie Database,7.0/10,Rotten Tomatoes,69%,Metacritic,66/100
1311,1311,Starsky & Hutch,55.0,PG-13,101 min,05 Mar 2004,2004,"Comedy, Crime","$87,100,000",6.1,"132,727",Internet Movie Database,6.1/10,Rotten Tomatoes,62%,Metacritic,55/100
1312,1312,Stateside,35.0,R,97 min,27 Feb 2004,2004,"Drama, Music, Romance","$113,620",6.0,"1,754",Internet Movie Database,6.0/10,Rotten Tomatoes,24%,Metacritic,35/100
1313,1313,The Stepford Wives,42.0,PG-13,93 min,11 Jun 2004,2004,"Comedy, Horror, Sci-Fi, Thriller","$59,341,993",5.3,"56,714",Internet Movie Database,5.3/10,Rotten Tomatoes,26%,Metacritic,42/100
1316,1316,Superbabies: Baby Geniuses 2,9.0,PG,88 min,27 Aug 2004,2004,"Comedy, Family, Sci-Fi","$9,016,422",2.0,"28,698",Internet Movie Database,2.0/10,Rotten Tomatoes,0%,Metacritic,9/100
1317,1317,Surviving Christmas,19.0,PG-13,91 min,22 Oct 2004,2004,"Comedy, Romance","$11,198,345",5.4,"20,884",Internet Movie Database,5.4/10,Rotten Tomatoes,7%,Metacritic,19/100
1318,1318,Suspect Zero,37.0,R,99 min,27 Aug 2004,2004,"Crime, Horror, Mystery, Thriller","$8,570,393",5.9,"18,159",Internet Movie Database,5.9/10,Rotten Tomatoes,18%,Metacritic,37/100
1319,1319,Taking Lives,38.0,R,103 min,19 Mar 2004,2004,"Crime, Mystery, Thriller","$32,634,479",6.2,"75,652",Internet Movie Database,6.2/10,Rotten Tomatoes,22%,Metacritic,38/100
1322,1322,Team America: World Police,64.0,R,98 min,15 Oct 2004,2004,"Action, Comedy","$32,700,000",7.2,"152,173",Internet Movie Database,7.2/10,Rotten Tomatoes,77%,Metacritic,64/100
1323,1323,The Terminal,55.0,PG-13,128 min,18 Jun 2004,2004,"Comedy, Drama, Romance","$77,032,279",7.3,"370,974",Internet Movie Database,7.3/10,Rotten Tomatoes,61%,Metacritic,55/100
1324,1324,Torque,41.0,PG-13,84 min,16 Jan 2004,2004,"Action, Comedy, Crime","$21,000,000",4.1,"25,965",Internet Movie Database,4.1/10,Rotten Tomatoes,23%,Metacritic,41/100
1325,1325,Troy,56.0,R,163 min,14 May 2004,2004,"Drama, History","$132,500,000",7.2,"457,611",Internet Movie Database,7.2/10,Rotten Tomatoes,54%,Metacritic,56/100
1326,1326,Twisted,26.0,R,97 min,27 Feb 2004,2004,"Crime, Drama, Mystery, Thriller","$25,047,335",5.3,"19,291",Internet Movie Database,5.3/10,Rotten Tomatoes,1%,Metacritic,26/100
1331,1331,Vanity Fair,53.0,PG-13,141 min,01 Sep 2004,2004,Drama,"$16,052,032",6.2,"19,693",Internet Movie Database,6.2/10,Rotten Tomatoes,51%,Metacritic,53/100
1332,1332,A Very Long Engagement,76.0,R,133 min,14 Jan 2005,2004,"Drama, Mystery, Romance, War","$6,200,000",7.6,"68,579",Internet Movie Database,7.6/10,Rotten Tomatoes,78%,Metacritic,76/100
1333,1333,The Village,44.0,PG-13,108 min,30 Jul 2004,2004,"Drama, Mystery, Thriller","$114,170,863",6.5,"229,667",Internet Movie Database,6.5/10,Rotten Tomatoes,44%,Metacritic,44/100
1335,1335,Voices of Iraq,66.0,Unrated,80 min,29 Oct 2004,2004,"Documentary, War","$30,634",6.4,326,Internet Movie Database,6.4/10,Rotten Tomatoes,60%,Metacritic,66/100
1336,1336,Walking Tall,44.0,PG-13,86 min,02 Apr 2004,2004,"Action, Crime","$45,860,039",6.3,"66,630",Internet Movie Database,6.3/10,Rotten Tomatoes,26%,Metacritic,44/100
1339,1339,We Don't Live Here Anymore,66.0,R,101 min,03 Sep 2004,2004,"Drama, Romance","$1,904,214",6.3,"8,889",Internet Movie Database,6.3/10,Rotten Tomatoes,66%,Metacritic,66/100
1340,1340,Welcome to Mooseport,33.0,PG-13,110 min,20 Feb 2004,2004,"Comedy, Romance","$14,244,145",5.2,"11,634",Internet Movie Database,5.2/10,Rotten Tomatoes,13%,Metacritic,33/100
1342,1342,White Chicks,41.0,PG-13,109 min,23 Jun 2004,2004,"Comedy, Crime","$69,148,997",5.6,"120,585",Internet Movie Database,5.6/10,Rotten Tomatoes,15%,Metacritic,41/100
1343,1343,The Whole Ten Yards,24.0,PG-13,98 min,09 Apr 2004,2004,"Comedy, Crime, Thriller","$16,247,590",5.5,"51,618",Internet Movie Database,5.5/10,Rotten Tomatoes,4%,Metacritic,24/100
1344,1344,Wicker Park,40.0,PG-13,114 min,03 Sep 2004,2004,"Drama, Mystery, Romance, Thriller","$12,831,121",7.0,"50,605",Internet Movie Database,7.0/10,Rotten Tomatoes,27%,Metacritic,40/100
1345,1345,Win a Date with Tad Hamilton!,52.0,PG-13,95 min,23 Jan 2004,2004,"Comedy, Romance","$16,899,058",5.6,"25,432",Internet Movie Database,5.6/10,Rotten Tomatoes,53%,Metacritic,52/100
1346,1346,Winter Solstice,59.0,R,90 min,24 Nov 2005,2004,Drama,"$245,785",6.2,"1,278",Internet Movie Database,6.2/10,Rotten Tomatoes,60%,Metacritic,59/100
1348,1348,Without a Paddle,29.0,PG-13,95 min,20 Aug 2004,2004,"Adventure, Comedy, Mystery","$58,156,435",5.9,"42,118",Internet Movie Database,5.9/10,Rotten Tomatoes,14%,Metacritic,29/100
1349,1349,Woman Thou Art Loosed,55.0,R,94 min,22 Oct 2004,2004,Drama,"$6,804,016",6.8,861,Internet Movie Database,6.8/10,Rotten Tomatoes,50%,Metacritic,55/100
1350,1350,The Woodsman,72.0,R,87 min,21 Jan 2005,2004,"Drama, Romance","$1,456,291",7.2,"30,267",Internet Movie Database,7.2/10,Rotten Tomatoes,88%,Metacritic,72/100
1354,1354,The 40-Year-Old Virgin,73.0,R,116 min,19 Aug 2005,2005,"Comedy, Romance","$109,243,478",7.1,"368,656",Internet Movie Database,7.1/10,Rotten Tomatoes,85%,Metacritic,73/100
1357,1357,Æon Flux,36.0,PG-13,93 min,02 Dec 2005,2005,"Action, Adventure, Crime, Sci-Fi, Thriller","$25,857,987",5.4,"119,844",Internet Movie Database,5.4/10,Rotten Tomatoes,9%,Metacritic,36/100
1358,1358,Aliens of the Deep,71.0,G,100 min,25 Aug 2005,2005,"Documentary, Family","$8,261,010",6.4,"2,559",Internet Movie Database,6.4/10,Rotten Tomatoes,84%,Metacritic,71/100
1359,1359,Alone in the Dark,9.0,R,96 min,28 Jan 2005,2005,"Action, Horror, Sci-Fi","$5,132,655",2.3,"40,518",Internet Movie Database,2.3/10,Rotten Tomatoes,1%,Metacritic,9/100
1360,1360,The Amityville Horror,33.0,R,90 min,15 Apr 2005,2005,Horror,"$64,255,243",6.0,"100,189",Internet Movie Database,6.0/10,Rotten Tomatoes,23%,Metacritic,33/100
1361,1361,Are We There Yet?,27.0,PG,95 min,21 Jan 2005,2005,"Adventure, Comedy, Family, Romance","$82,301,521",4.7,"27,192",Internet Movie Database,4.7/10,Rotten Tomatoes,12%,Metacritic,27/100
1363,1363,Assault on Precinct 13,54.0,R,109 min,19 Jan 2005,2005,"Action, Crime, Drama, Thriller","$19,976,073",6.3,"71,149",Internet Movie Database,6.3/10,Rotten Tomatoes,59%,Metacritic,54/100
1365,1365,The Ballad of Jack and Rose,59.0,R,112 min,08 Apr 2005,2005,Drama,"$578,570",6.7,"10,316",Internet Movie Database,6.7/10,Rotten Tomatoes,47%,Metacritic,59/100
1366,1366,Batman Begins,70.0,PG-13,140 min,15 Jun 2005,2005,"Action, Adventure","$204,100,000",8.2,"1,212,892",Internet Movie Database,8.2/10,Rotten Tomatoes,84%,Metacritic,70/100
1368,1368,Be Cool,37.0,PG-13,118 min,04 Mar 2005,2005,"Comedy, Crime, Music","$55,590,667",5.6,"65,091",Internet Movie Database,5.6/10,Rotten Tomatoes,30%,Metacritic,37/100
1369,1369,Beauty Shop,53.0,PG-13,105 min,30 Mar 2005,2005,Comedy,"$36,310,118",5.5,"15,426",Internet Movie Database,5.5/10,Rotten Tomatoes,38%,Metacritic,53/100
1370,1370,Because of Winn-Dixie,54.0,PG,106 min,18 Feb 2005,2005,"Comedy, Drama, Family","$32,500,000",6.3,"9,858",Internet Movie Database,6.3/10,Rotten Tomatoes,55%,Metacritic,54/100
1371,1371,Bee Season,54.0,PG-13,104 min,23 Nov 2005,2005,"Drama, Family","$1,100,000",5.5,"6,438",Internet Movie Database,5.5/10,Rotten Tomatoes,42%,Metacritic,54/100
