,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
3006,The Debt,65,R,113 min,31 Aug 2011,2010,"Drama, Thriller","$31,146,570",6.8,"61,590",Internet Movie Database,6.8/10,Rotten Tomatoes,77%,Metacritic,65/100
3007,The Descendants,84,R,115 min,09 Dec 2011,2011,"Comedy, Drama","$78,500,000",7.3,"224,627",Internet Movie Database,7.3/10,Rotten Tomatoes,89%,Metacritic,84/100
3008,The Devil's Double,52,R,109 min,08 Sep 2011,2011,"Biography, Drama, Thriller","$1,357,042",7.1,"58,621",Internet Movie Database,7.1/10,Rotten Tomatoes,55%,Metacritic,52/100
3009,Diary of a Wimpy Kid: Rodrick Rules,51,PG,99 min,25 Mar 2011,2011,"Comedy, Family","$52,691,009",6.5,"23,395",Internet Movie Database,6.5/10,Rotten Tomatoes,47%,Metacritic,51/100
3010,The Dilemma,46,PG-13,111 min,14 Jan 2011,2011,"Comedy, Drama","$48,430,355",5.3,"48,660",Internet Movie Database,5.3/10,Rotten Tomatoes,24%,Metacritic,46/100
3011,Dirty Girl,37,R,90 min,07 Jul 2011,2010,"Comedy, Drama","$53,630",6.4,"10,071",Internet Movie Database,6.4/10,Rotten Tomatoes,33%,Metacritic,37/100
3012,Dolphin Tale,64,PG,113 min,23 Sep 2011,2011,"Drama, Family","$65,099,999",6.9,"20,992",Internet Movie Database,6.9/10,Rotten Tomatoes,81%,Metacritic,64/100
3013,Don't Be Afraid of the Dark,56,R,99 min,26 Aug 2011,2010,"Fantasy, Horror, Thriller","$23,900,000",5.5,"44,810",Internet Movie Database,5.5/10,Rotten Tomatoes,59%,Metacritic,56/100
3014,The Double,68,R,93 min,04 Apr 2014,2013,"Comedy, Drama, Mystery, Sci-Fi, Thriller","$520,447",6.5,"44,355",Internet Movie Database,6.5/10,Rotten Tomatoes,83%,Metacritic,68/100
3015,Dream House,35,PG-13,84 min,30 Sep 2011,2011,"Drama, Mystery, Thriller","$21,300,000",6.0,"60,112",Internet Movie Database,6.0/10,Rotten Tomatoes,6%,Metacritic,35/100
3016,Drive,78,R,100 min,16 Sep 2011,2011,"Crime, Drama","$34,300,000",7.8,"527,860",Internet Movie Database,7.8/10,Rotten Tomatoes,92%,Metacritic,78/100
3017,Drive Angry,44,R,104 min,25 Feb 2011,2011,"Action, Crime, Fantasy, Sci-Fi, Thriller","$10,706,786",5.4,"90,907",Internet Movie Database,5.4/10,Rotten Tomatoes,46%,Metacritic,44/100
3018,Dylan Dog: Dead of Night,31,PG-13,107 min,29 Apr 2011,2010,"Action, Comedy, Crime, Fantasy, Horror, Mystery, Sci-Fi, Thriller","$856,849",5.1,"14,215",Internet Movie Database,5.1/10,Rotten Tomatoes,7%,Metacritic,31/100
3019,The Eagle,55,PG-13,114 min,11 Feb 2011,2011,"Action, Adventure, Drama, History, War","$19,478,384",6.2,"62,039",Internet Movie Database,6.2/10,Rotten Tomatoes,40%,Metacritic,55/100
3020,Everything Must Go,65,R,97 min,14 Oct 2011,2010,"Comedy, Drama","$2,711,210",6.4,"46,115",Internet Movie Database,6.4/10,Rotten Tomatoes,73%,Metacritic,65/100
3021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3022,Fast Five,66,PG-13,130 min,29 Apr 2011,2011,"Action, Adventure, Thriller","$209,805,005",7.3,"333,452",Internet Movie Database,7.3/10,Rotten Tomatoes,77%,Metacritic,66/100
3023,Father of Invention,36,PG-13,93 min,03 Nov 2011,2010,"Comedy, Drama",N/A,5.8,"7,911",Internet Movie Database,5.8/10,Rotten Tomatoes,0%,Metacritic,36/100
3024,Fear of a Black Republican,N/A,N/A,111 min,01 Apr 2011,2011,"Documentary, History",N/A,6.1,14,Internet Movie Database,6.1/10,null,null,null,null
3025,Final Destination 5,50,R,92 min,12 Aug 2011,2011,Horror,"$42,500,000",5.8,"99,252",Internet Movie Database,5.8/10,Rotten Tomatoes,62%,Metacritic,50/100
3026,Footloose,42,PG,107 min,17 Feb 1984,1984,"Drama, Music, Romance",N/A,6.6,"64,510",Internet Movie Database,6.6/10,Rotten Tomatoes,51%,Metacritic,42/100
3027,Friends with Benefits,63,R,109 min,22 Jul 2011,2011,"Comedy, Romance","$55,802,754",6.5,"319,955",Internet Movie Database,6.5/10,Rotten Tomatoes,68%,Metacritic,63/100
3028,Fright Night,64,R,106 min,19 Aug 2011,2011,"Comedy, Horror","$18,298,649",6.3,"95,372",Internet Movie Database,6.3/10,Rotten Tomatoes,72%,Metacritic,64/100
3029,From Prada to Nada,39,PG-13,107 min,28 Jan 2011,2011,"Comedy, Drama, Romance","$3,016,244",5.5,"13,712",Internet Movie Database,5.5/10,Rotten Tomatoes,20%,Metacritic,39/100
3030,The Future,67,R,91 min,17 Aug 2011,2011,"Drama, Fantasy, Romance","$332,479",6.2,"7,603",Internet Movie Database,6.2/10,Rotten Tomatoes,72%,Metacritic,67/100
3031,The Girl with the Dragon Tattoo,71,R,158 min,21 Dec 2011,2011,"Crime, Drama, Mystery, Thriller","$102,515,793",7.8,"391,627",Internet Movie Database,7.8/10,Rotten Tomatoes,86%,Metacritic,71/100
3032,Glee: The 3D Concert Movie,48,PG,84 min,12 Aug 2011,2011,"Documentary, Music","$11,860,839",5.4,"5,471",Internet Movie Database,5.4/10,Rotten Tomatoes,60%,Metacritic,48/100
3033,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3034,A Good Old Fashioned Orgy,44,R,95 min,27 Oct 2011,2011,"Comedy, Romance","$117,564.00",6.1,"19,974",Internet Movie Database,6.1/10,Rotten Tomatoes,33%,Metacritic,44/100
3035,The Good Doctor,N/A,TV-14,41 min,25 Sep 2017,2017–,Drama,null,8.2,"46,930",Internet Movie Database,8.2/10,null,null,null,null
3036,The Greatest Movie Ever Sold,66,PG-13,90 min,24 Aug 2011,2011,"Documentary, Comedy","$638,476",6.6,"14,252",Internet Movie Database,6.6/10,Rotten Tomatoes,74%,Metacritic,66/100
3037,The Green Hornet,39,PG-13,119 min,14 Jan 2011,2011,"Action, Comedy, Crime, Sci-Fi, Thriller","$98,000,000",5.8,"149,469",Internet Movie Database,5.8/10,Rotten Tomatoes,44%,Metacritic,39/100
3038,Green Lantern,39,PG-13,114 min,17 Jun 2011,2011,"Action, Adventure, Sci-Fi","$116,600,000",5.5,"254,425",Internet Movie Database,5.5/10,Rotten Tomatoes,26%,Metacritic,39/100
3039,Hall Pass,45,R,105 min,25 Feb 2011,2011,"Comedy, Romance","$45,045,037",5.8,"114,746",Internet Movie Database,5.8/10,Rotten Tomatoes,33%,Metacritic,45/100
3040,The Hangover Part II,44,R,102 min,26 May 2011,2011,"Comedy, Mystery","$254,400,000",6.4,"438,083",Internet Movie Database,6.4/10,Rotten Tomatoes,33%,Metacritic,44/100
3041,Hanna,65,PG-13,111 min,08 Apr 2011,2011,"Action, Drama, Thriller","$40,200,000",6.8,"180,326",Internet Movie Database,6.8/10,Rotten Tomatoes,72%,Metacritic,65/100
3042,Happy Feet Two,50,PG,100 min,18 Nov 2011,2011,"Animation, Adventure, Comedy, Family, Musical","$63,992,328",5.9,"38,858",Internet Movie Database,5.9/10,Rotten Tomatoes,45%,Metacritic,50/100
3043,Happythankyoumoreplease,45,R,100 min,03 Mar 2011,2010,"Comedy, Drama, Romance","$215,576",6.8,"28,422",Internet Movie Database,6.8/10,Rotten Tomatoes,40%,Metacritic,45/100
3044,Harry Potter and the Deathly Hallows: Part 2,87,PG-13,130 min,15 Jul 2011,2011,"Adventure, Drama, Fantasy, Mystery","$381,000,185",8.1,"700,975",Internet Movie Database,8.1/10,Rotten Tomatoes,96%,Metacritic,87/100
3045,The Heart Specialist,N/A,R,99 min,14 Jan 2011,2006,"Comedy, Drama","$1,096,288",4.8,502,Internet Movie Database,4.8/10,null,null,null,null
3046,The Help,62,PG-13,146 min,10 Aug 2011,2011,Drama,"$169,705,587",8.1,"397,050",Internet Movie Database,8.1/10,Rotten Tomatoes,76%,Metacritic,62/100
3047,Hesher,45,R,106 min,25 Jun 2011,2010,"Comedy, Crime, Drama","$300,000",7.0,"48,798",Internet Movie Database,7.0/10,Rotten Tomatoes,53%,Metacritic,45/100
3048,Higher Ground,74,R,109 min,01 Mar 2012,2011,Drama,"$841,056",6.2,"2,888",Internet Movie Database,6.2/10,Rotten Tomatoes,81%,Metacritic,74/100
3049,Hoodwinked Too! Hood vs. Evil,20,PG,86 min,29 Apr 2011,2011,"Animation, Comedy, Crime, Family, Mystery","$10,134,754",4.7,"11,382",Internet Movie Database,4.7/10,Rotten Tomatoes,11%,Metacritic,20/100
3050,Hop,41,PG,95 min,01 Apr 2011,2011,"Animation, Adventure, Comedy, Family, Fantasy","$108,012,170",5.4,"29,143",Internet Movie Database,5.4/10,Rotten Tomatoes,25%,Metacritic,41/100
3051,Horrible Bosses,57,R,98 min,08 Jul 2011,2011,"Comedy, Crime","$116,900,000",6.9,"402,052",Internet Movie Database,6.9/10,Rotten Tomatoes,69%,Metacritic,57/100
3052,Hugo,83,PG,126 min,23 Nov 2011,2011,"Drama, Family, Fantasy, Mystery","$73,820,094",7.5,"286,878",Internet Movie Database,7.5/10,Rotten Tomatoes,93%,Metacritic,83/100
3053,I Am Number Four,36,PG-13,111 min,18 Feb 2011,2011,"Action, Adventure, Sci-Fi, Thriller","$55,086,029",6.1,"219,330",Internet Movie Database,6.1/10,Rotten Tomatoes,33%,Metacritic,36/100
3054,I Don't Know How She Does It,38,PG-13,89 min,16 Sep 2011,2011,"Comedy, Romance","$9,500,000",4.9,"18,701",Internet Movie Database,4.9/10,Rotten Tomatoes,17%,Metacritic,38/100
3055,I Melt with You,26,R,129 min,26 Jul 2012,2011,Drama,"$4,176",6.0,"5,605",Internet Movie Database,6.0/10,Rotten Tomatoes,14%,Metacritic,26/100
3056,The Ides of March,67,R,101 min,07 Oct 2011,2011,"Drama, Thriller","$40,962,534",7.1,"208,153",Internet Movie Database,7.1/10,Rotten Tomatoes,84%,Metacritic,67/100
3057,Immortals,46,R,110 min,11 Nov 2011,2011,"Action, Drama, Fantasy, Romance","$83,488,546",6.0,"153,875",Internet Movie Database,6.0/10,Rotten Tomatoes,38%,Metacritic,46/100
3058,In Time,53,PG-13,109 min,28 Oct 2011,2011,"Action, Crime, Sci-Fi, Thriller","$35,900,000",6.7,"349,072",Internet Movie Database,6.7/10,Rotten Tomatoes,37%,Metacritic,53/100
3059,Inside Out,94,PG,95 min,19 Jun 2015,2015,"Animation, Adventure, Comedy, Drama, Family, Fantasy","$264,317,903",8.2,"547,221",Internet Movie Database,8.2/10,Rotten Tomatoes,98%,Metacritic,94/100
3060,Insidious,52,PG-13,103 min,01 Apr 2011,2010,"Horror, Mystery, Thriller","$53,700,000",6.8,"257,874",Internet Movie Database,6.8/10,Rotten Tomatoes,66%,Metacritic,52/100
3061,J. Edgar,59,R,137 min,11 Nov 2011,2011,"Biography, Crime, Drama, History, Romance","$37,304,451",6.5,"116,865",Internet Movie Database,6.5/10,Rotten Tomatoes,43%,Metacritic,59/100
3062,Jack and Jill,23,PG,91 min,11 Nov 2011,2011,Comedy,"$74,158,157",3.3,"72,519",Internet Movie Database,3.3/10,Rotten Tomatoes,3%,Metacritic,23/100
3063,Janie Jones,52,NOT RATED,114 min,29 Apr 2011,2010,"Biography, Drama, Music",N/A,6.7,"1,987",Internet Movie Database,6.7/10,Rotten Tomatoes,55%,Metacritic,52/100
3064,Judy Moody and the Not Bummer Summer,37,PG,91 min,10 Jun 2011,2011,"Comedy, Family","$15,000,994",4.2,"2,705",Internet Movie Database,4.2/10,Rotten Tomatoes,19%,Metacritic,37/100
3065,Jumping the Broom,56,PG-13,112 min,06 May 2011,2011,"Comedy, Drama","$37,295,394",5.7,"9,188",Internet Movie Database,5.7/10,Rotten Tomatoes,57%,Metacritic,56/100
3066,Just Go with It,33,PG-13,117 min,11 Feb 2011,2011,"Comedy, Romance","$103,028,109",6.4,"204,460",Internet Movie Database,6.4/10,Rotten Tomatoes,19%,Metacritic,33/100
3067,Justin Bieber: Never Say Never,52,G,105 min,11 Feb 2011,2011,"Documentary, Music","$73,000,942",1.6,"74,979",Internet Movie Database,1.6/10,Rotten Tomatoes,65%,Metacritic,52/100
3068,Kill the Irishman,50,R,106 min,11 May 2012,2011,"Biography, Crime, Drama","$1,187,711",7.1,"42,152",Internet Movie Database,7.1/10,Rotten Tomatoes,61%,Metacritic,50/100
3069,Killer Elite,44,R,116 min,23 Sep 2011,2011,"Action, Thriller","$25,093,607",6.5,"118,449",Internet Movie Database,6.5/10,Rotten Tomatoes,26%,Metacritic,44/100
3070,Kung Fu Panda 2,67,PG,90 min,26 May 2011,2011,"Animation, Action, Adventure, Comedy, Family, Fantasy","$165,230,261",7.2,"232,089",Internet Movie Database,7.2/10,Rotten Tomatoes,81%,Metacritic,67/100
3071,Larry Crowne,41,PG-13,98 min,01 Jul 2011,2011,"Comedy, Drama, Romance","$35,565,975",6.1,"59,572",Internet Movie Database,6.1/10,Rotten Tomatoes,36%,Metacritic,41/100
3072,Life in a Day,58,PG-13,95 min,27 Jan 2011,2011,"Documentary, Drama","$247,215",7.7,"14,420",Internet Movie Database,7.7/10,Rotten Tomatoes,81%,Metacritic,58/100
3073,Like Crazy,68,PG-13,86 min,27 Jan 2012,2011,"Drama, Romance","$3,388,210",6.7,"56,270",Internet Movie Database,6.7/10,Rotten Tomatoes,71%,Metacritic,68/100
3074,Limitless,59,PG-13,105 min,18 Mar 2011,2011,"Mystery, Sci-Fi, Thriller","$79,230,923",7.4,"497,429",Internet Movie Database,7.4/10,Rotten Tomatoes,69%,Metacritic,59/100
3075,The Lincoln Lawyer,63,R,118 min,18 Mar 2011,2011,"Crime, Drama, Thriller","$57,900,000",7.3,"197,562",Internet Movie Database,7.3/10,Rotten Tomatoes,84%,Metacritic,63/100
3076,Lucky,80,Not Rated,88 min,29 Sep 2017,2017,"Comedy, Drama, Western",N/A,7.3,"15,402",Internet Movie Database,7.3/10,Metacritic,80/100,null,null
3077,Machine Gun Preacher,43,R,129 min,02 Nov 2011,2011,"Action, Biography, Crime, Drama","$400,000",6.8,"60,494",Internet Movie Database,6.8/10,Rotten Tomatoes,27%,Metacritic,43/100
