,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
0,10 Things I Hate About You,70,PG-13,97 min,31 Mar 1999,1999,"Comedy, Drama, Romance",N/A,7.3,"273,324",Internet Movie Database,7.3/10,Rotten Tomatoes,68%,Metacritic,70/100
1,The 13th Warrior,42,R,102 min,27 Aug 1999,1999,"Action, Adventure, History",N/A,6.6,"111,412",Internet Movie Database,6.6/10,Rotten Tomatoes,33%,Metacritic,42/100
2,200 Cigarettes,33,R,101 min,26 Feb 1999,1999,"Comedy, Drama, Romance",N/A,5.9,"14,102",Internet Movie Database,5.9/10,Rotten Tomatoes,29%,Metacritic,33/100
3,The 4th Floor,N/A,R,90 min,10 Aug 2000,1999,"Horror, Mystery, Thriller",N/A,5.7,"4,205",Internet Movie Database,5.7/10,null,null,null,null
4,8MM,19,R,123 min,26 Feb 1999,1999,"Mystery, Thriller",N/A,6.5,"116,700",Internet Movie Database,6.5/10,Rotten Tomatoes,22%,Metacritic,19/100
5,The Adventures of Elmo in Grouchland,59,G,73 min,01 Oct 1999,1999,"Adventure, Comedy, Family, Fantasy, Musical",N/A,5.8,"2,655",Internet Movie Database,5.8/10,Rotten Tomatoes,77%,Metacritic,59/100
6,American Beauty,86,R,122 min,01 Oct 1999,1999,Drama,N/A,8.3,"999,142",Internet Movie Database,8.3/10,Rotten Tomatoes,88%,Metacritic,86/100
7,American Movie,84,R,107 min,13 Apr 2000,1999,"Documentary, Comedy",N/A,7.9,"15,902",Internet Movie Database,7.9/10,Rotten Tomatoes,94%,Metacritic,84/100
8,American Pie,58,R,95 min,09 Jul 1999,1999,Comedy,N/A,7.0,"355,947",Internet Movie Database,7.0/10,Rotten Tomatoes,61%,Metacritic,58/100
9,Analyze This,61,R,103 min,05 Mar 1999,1999,"Comedy, Crime",N/A,6.7,"138,938",Internet Movie Database,6.7/10,Rotten Tomatoes,70%,Metacritic,61/100
10,Angel's Dance,N/A,R,99 min,25 Feb 1999,1999,"Action, Comedy, Crime",N/A,6.2,"1,228",Internet Movie Database,6.2/10,null,null,null,null
11,Animal Farm,N/A,Approved,72 min,19 Jun 1959,1954,"Animation, Drama",N/A,7.2,"13,613",Internet Movie Database,7.2/10,Rotten Tomatoes,60%,null,null
12,Anna and the King,56,PG-13,148 min,17 Dec 1999,1999,"Drama, History, Romance",N/A,6.7,"34,378",Internet Movie Database,6.7/10,Rotten Tomatoes,51%,Metacritic,56/100
13,Annie,39,PG,127 min,18 Jun 1982,1982,"Comedy, Drama, Family, Musical",N/A,6.6,"36,963",Internet Movie Database,6.6/10,Rotten Tomatoes,56%,Metacritic,39/100
14,Any Given Sunday,52,R,162 min,22 Dec 1999,1999,"Drama, Sport",N/A,6.9,"107,090",Internet Movie Database,6.9/10,Rotten Tomatoes,52%,Metacritic,52/100
15,Anywhere But Here,59,PG-13,114 min,12 Nov 1999,1999,"Comedy, Drama",N/A,6.2,"16,063",Internet Movie Database,6.2/10,Rotten Tomatoes,64%,Metacritic,59/100
16,Arlington Road,65,R,117 min,09 Jul 1999,1999,"Crime, Drama, Thriller",N/A,7.2,"77,250",Internet Movie Database,7.2/10,Rotten Tomatoes,63%,Metacritic,65/100
17,The Astronaut's Wife,37,R,109 min,27 Aug 1999,1999,"Drama, Sci-Fi, Thriller",N/A,5.3,"50,548",Internet Movie Database,5.3/10,Rotten Tomatoes,15%,Metacritic,37/100
18,At First Sight,40,PG-13,128 min,15 Jan 1999,1999,"Drama, Romance",N/A,5.9,"12,452",Internet Movie Database,5.9/10,Rotten Tomatoes,32%,Metacritic,40/100
19,Atomic Train,N/A,PG-13,122 min,16 May 1999,1999–,"Action, Drama, Thriller",null,4.7,"2,089",Internet Movie Database,4.7/10,null,null,null,null
20,Austin Powers: The Spy Who Shagged Me,59,PG-13,95 min,11 Jun 1999,1999,"Action, Adventure, Comedy, Crime",N/A,6.6,"205,811",Internet Movie Database,6.6/10,Rotten Tomatoes,51%,Metacritic,59/100
21,Baby Geniuses,6,PG,97 min,12 Mar 1999,1999,"Comedy, Crime, Family, Sci-Fi",N/A,2.6,"23,984",Internet Movie Database,2.6/10,Rotten Tomatoes,2%,Metacritic,6/100
22,The Bachelor,31,PG-13,101 min,05 Nov 1999,1999,"Comedy, Romance",N/A,5.0,"15,988",Internet Movie Database,5.0/10,Rotten Tomatoes,9%,Metacritic,31/100
23,Bats,23,PG-13,91 min,22 Oct 1999,1999,"Horror, Sci-Fi, Thriller",N/A,3.9,"9,109",Internet Movie Database,3.9/10,Rotten Tomatoes,17%,Metacritic,23/100
24,Being John Malkovich,90,R,113 min,03 Dec 1999,1999,"Comedy, Drama, Fantasy",N/A,7.7,"291,087",Internet Movie Database,7.7/10,Rotten Tomatoes,93%,Metacritic,90/100
25,Bellyfruit,N/A,Not Rated,86 min,16 Apr 1999,1999,Drama,N/A,4.7,104,Internet Movie Database,4.7/10,null,null,null,null
26,Beowulf,59,PG-13,115 min,16 Nov 2007,2007,"Animation, Action, Adventure, Fantasy","$82,200,000",6.2,"155,920",Internet Movie Database,6.2/10,Rotten Tomatoes,71%,Metacritic,59/100
27,Best Laid Plans,40,R,92 min,14 May 1999,1999,"Crime, Drama, Thriller",N/A,6.2,"6,860",Internet Movie Database,6.2/10,Rotten Tomatoes,43%,Metacritic,40/100
28,The Best Man,61,R,120 min,22 Oct 1999,1999,"Comedy, Drama, Romance",N/A,6.8,"8,545",Internet Movie Database,6.8/10,Rotten Tomatoes,72%,Metacritic,61/100
29,Beyond the Mat,73,R,102 min,17 Mar 2000,1999,"Documentary, Biography, Sport",N/A,7.6,"7,512",Internet Movie Database,7.6/10,Rotten Tomatoes,82%,Metacritic,73/100
30,Bicentennial Man,42,PG,132 min,17 Dec 1999,1999,"Comedy, Drama, Sci-Fi",N/A,6.9,"103,442",Internet Movie Database,6.9/10,Rotten Tomatoes,36%,Metacritic,42/100
31,Big Daddy,41,PG-13,93 min,25 Jun 1999,1999,"Comedy, Drama",N/A,6.4,"187,169",Internet Movie Database,6.4/10,Rotten Tomatoes,40%,Metacritic,41/100
32,The Big Kahuna,56,R,90 min,19 May 2000,1999,"Drama, Comedy",N/A,6.6,"13,319",Internet Movie Database,6.6/10,Rotten Tomatoes,73%,Metacritic,56/100
33,Black and White,N/A,R,97 min,25 Apr 2001,1999,"Action, Mystery, Thriller",N/A,5.3,981,Internet Movie Database,5.3/10,Rotten Tomatoes,25%,null,null
34,The Blair Witch Project,81,R,81 min,30 Jul 1999,1999,"Horror, Mystery",N/A,6.5,"218,690",Internet Movie Database,6.5/10,Rotten Tomatoes,87%,Metacritic,81/100
35,Blast from the Past,48,PG-13,112 min,12 Feb 1999,1999,"Comedy, Drama, Romance, Sci-Fi",N/A,6.6,"56,164",Internet Movie Database,6.6/10,Rotten Tomatoes,57%,Metacritic,48/100
36,Blue Streak,46,PG-13,93 min,17 Sep 1999,1999,"Action, Comedy, Crime, Thriller",N/A,6.3,"69,712",Internet Movie Database,6.3/10,Rotten Tomatoes,36%,Metacritic,46/100
37,The Bone Collector,45,R,118 min,05 Nov 1999,1999,"Crime, Drama, Mystery, Thriller",N/A,6.7,"143,884",Internet Movie Database,6.7/10,Rotten Tomatoes,28%,Metacritic,45/100
38,The Boondock Saints,44,R,108 min,19 Nov 1999,1999,"Action, Crime, Thriller",N/A,7.8,"218,198",Internet Movie Database,7.8/10,Rotten Tomatoes,22%,Metacritic,44/100
39,Bowfinger,71,PG-13,97 min,13 Aug 1999,1999,Comedy,N/A,6.4,"63,041",Internet Movie Database,6.4/10,Rotten Tomatoes,81%,Metacritic,71/100
40,Boys Don't Cry,86,R,118 min,31 Mar 2000,1999,"Biography, Crime, Drama, Romance",N/A,7.5,"87,946",Internet Movie Database,7.5/10,Rotten Tomatoes,88%,Metacritic,86/100
41,Breakfast of Champions,42,R,110 min,18 Feb 1999,1999,Comedy,N/A,4.6,"7,385",Internet Movie Database,4.6/10,Rotten Tomatoes,26%,Metacritic,42/100
42,Bringing Out the Dead,70,R,121 min,22 Oct 1999,1999,"Drama, Thriller",N/A,6.8,"58,646",Internet Movie Database,6.8/10,Rotten Tomatoes,72%,Metacritic,70/100
43,Brokedown Palace,44,PG-13,100 min,13 Aug 1999,1999,"Drama, Mystery, Thriller",N/A,6.4,"20,646",Internet Movie Database,6.4/10,Rotten Tomatoes,31%,Metacritic,44/100
44,But I'm a Cheerleader,39,R,85 min,11 Aug 2000,1999,"Comedy, Drama, Romance","$175,182",6.6,"23,614",Internet Movie Database,6.6/10,Rotten Tomatoes,39%,Metacritic,39/100
45,Chill Factor,33,R,102 min,01 Sep 1999,1999,"Action, Adventure, Comedy, Drama, Thriller",N/A,5.2,"8,992",Internet Movie Database,5.2/10,Rotten Tomatoes,10%,Metacritic,33/100
46,Chutney Popcorn,66,PG-13,92 min,11 Jan 2001,1999,"Comedy, Drama",N/A,5.8,963,Internet Movie Database,5.8/10,Rotten Tomatoes,83%,Metacritic,66/100
47,The Cider House Rules,75,PG-13,126 min,07 Jan 2000,1999,"Drama, Romance",N/A,7.4,"88,814",Internet Movie Database,7.4/10,Rotten Tomatoes,71%,Metacritic,75/100
48,Coming Soon,N/A,N/A,134 min,02 Oct 2014,2014,Comedy,N/A,7.5,"28,405",Internet Movie Database,7.5/10,null,null,null,null
49,The Corruptor,56,R,110 min,12 Mar 1999,1999,"Action, Crime, Drama, Mystery, Thriller",N/A,6.0,"16,736",Internet Movie Database,6.0/10,Rotten Tomatoes,48%,Metacritic,56/100
50,Cradle Will Rock,64,R,132 min,21 Jan 2000,1999,Drama,N/A,6.9,"8,522",Internet Movie Database,6.9/10,Rotten Tomatoes,64%,Metacritic,64/100
51,Crazy in Alabama,46,PG-13,111 min,22 Oct 1999,1999,"Comedy, Crime, Drama",N/A,6.3,"6,420",Internet Movie Database,6.3/10,Rotten Tomatoes,30%,Metacritic,46/100
52,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
53,Cruel Intentions,56,R,97 min,05 Mar 1999,1999,"Drama, Romance",N/A,6.8,"170,544",Internet Movie Database,6.8/10,Rotten Tomatoes,54%,Metacritic,56/100
54,Deep Blue Sea,54,R,105 min,28 Jul 1999,1999,"Action, Adventure, Sci-Fi, Thriller",N/A,5.8,"116,710",Internet Movie Database,5.8/10,Rotten Tomatoes,59%,Metacritic,54/100
55,The Deep End of the Ocean,45,PG-13,106 min,12 Mar 1999,1999,Drama,N/A,6.4,"12,154",Internet Movie Database,6.4/10,Rotten Tomatoes,43%,Metacritic,45/100
56,Deterrence,50,R,104 min,10 Mar 2000,1999,"Drama, Thriller",N/A,6.4,"2,462",Internet Movie Database,6.4/10,Rotten Tomatoes,46%,Metacritic,50/100
57,Detroit Rock City,33,R,95 min,13 Aug 1999,1999,"Comedy, Music",N/A,6.9,"33,626",Internet Movie Database,6.9/10,Rotten Tomatoes,48%,Metacritic,33/100
58,Deuce Bigalow: Male Gigolo,30,R,88 min,10 Dec 1999,1999,"Comedy, Romance",N/A,5.7,"67,264",Internet Movie Database,5.7/10,Rotten Tomatoes,22%,Metacritic,30/100
59,Dick,65,PG-13,94 min,04 Aug 1999,1999,Comedy,N/A,6.1,"17,532",Internet Movie Database,6.1/10,Rotten Tomatoes,71%,Metacritic,65/100
60,Dill Scallion,N/A,PG-13,91 min,25 Jan 1999,1999,Comedy,N/A,6.5,290,Internet Movie Database,6.5/10,null,null,null,null
61,A Dog of Flanders,38,PG,100 min,27 Aug 1999,1999,"Family, Drama",N/A,6.3,838,Internet Movie Database,6.3/10,Rotten Tomatoes,21%,Metacritic,38/100
62,Dogma,62,R,130 min,12 Nov 1999,1999,"Adventure, Comedy, Drama, Fantasy",N/A,7.3,"199,621",Internet Movie Database,7.3/10,Rotten Tomatoes,67%,Metacritic,62/100
63,Double Jeopardy,40,R,105 min,24 Sep 1999,1999,"Crime, Drama, Mystery, Thriller",N/A,6.5,"66,899",Internet Movie Database,6.5/10,Rotten Tomatoes,27%,Metacritic,40/100
64,Drop Dead Gorgeous,28,PG-13,97 min,23 Jul 1999,1999,"Comedy, Romance, Thriller",N/A,6.6,"30,782",Internet Movie Database,6.6/10,Rotten Tomatoes,46%,Metacritic,28/100
65,Dudley Do-Right,44,PG,77 min,27 Aug 1999,1999,"Comedy, Family, Romance",N/A,3.9,"9,255",Internet Movie Database,3.9/10,Rotten Tomatoes,16%,Metacritic,44/100
66,Edtv,48,PG-13,122 min,26 Mar 1999,1999,"Comedy, Drama",N/A,6.1,"39,881",Internet Movie Database,6.1/10,Rotten Tomatoes,64%,Metacritic,48/100
67,Election,83,R,103 min,07 May 1999,1999,"Comedy, Drama, Romance",N/A,7.2,"83,947",Internet Movie Database,7.2/10,Rotten Tomatoes,92%,Metacritic,83/100
68,End of Days,33,R,122 min,24 Nov 1999,1999,"Action, Fantasy, Horror, Thriller",N/A,5.8,"101,061",Internet Movie Database,5.8/10,Rotten Tomatoes,11%,Metacritic,33/100
69,Entrapment,54,PG-13,113 min,30 Apr 1999,1999,"Action, Crime, Romance, Thriller",N/A,6.3,"100,956",Internet Movie Database,6.3/10,Rotten Tomatoes,38%,Metacritic,54/100
70,Entropy,N/A,R,104 min,27 Nov 1999,1999,"Comedy, Drama, Romance",N/A,6.4,"1,950",Internet Movie Database,6.4/10,Rotten Tomatoes,40%,null,null
71,eXistenZ,68,R,97 min,23 Apr 1999,1999,"Horror, Sci-Fi, Thriller",N/A,6.8,"88,479",Internet Movie Database,6.8/10,Rotten Tomatoes,74%,Metacritic,68/100
72,Eye of the Beholder,29,R,109 min,28 Jan 2000,1999,"Drama, Mystery, Thriller",N/A,5.1,"14,099",Internet Movie Database,5.1/10,Rotten Tomatoes,9%,Metacritic,29/100
73,Eyes Wide Shut,68,R,159 min,16 Jul 1999,1999,"Drama, Mystery, Thriller",N/A,7.4,"275,044",Internet Movie Database,7.4/10,Rotten Tomatoes,75%,Metacritic,68/100
74,Fantasia 2000,59,G,75 min,16 Jun 2000,1999,"Animation, Comedy, Family, Fantasy, Music",N/A,7.2,"32,571",Internet Movie Database,7.2/10,Rotten Tomatoes,81%,Metacritic,59/100
75,Fight Club,66,R,139 min,15 Oct 1999,1999,Drama,N/A,8.8,"1,699,612",Internet Movie Database,8.8/10,Rotten Tomatoes,79%,Metacritic,66/100
76,Flawless,57,PG-13,108 min,28 Mar 2008,2007,"Crime, Drama, Thriller","$1,146,525",6.8,"21,901",Internet Movie Database,6.8/10,Rotten Tomatoes,55%,Metacritic,57/100
77,The Florentine,N/A,R,104 min,19 Apr 1999,1999,"Comedy, Drama",N/A,5.7,558,Internet Movie Database,5.7/10,null,null,null,null
78,For Love of the Game,43,PG-13,137 min,17 Sep 1999,1999,"Drama, Romance, Sport",N/A,6.6,"29,832",Internet Movie Database,6.6/10,Rotten Tomatoes,45%,Metacritic,43/100
79,Forces of Nature,46,PG-13,105 min,19 Mar 1999,1999,"Comedy, Romance",N/A,5.4,"30,629",Internet Movie Database,5.4/10,Rotten Tomatoes,45%,Metacritic,46/100
80,Friends & Lovers,N/A,R,103 min,16 Apr 1999,1999,"Drama, Romance, Comedy",N/A,4.5,"1,387",Internet Movie Database,4.5/10,null,null,null,null
81,Galaxy Quest,70,PG,102 min,25 Dec 1999,1999,"Adventure, Comedy, Sci-Fi",N/A,7.3,"138,942",Internet Movie Database,7.3/10,Rotten Tomatoes,90%,Metacritic,70/100
82,The General's Daughter,47,R,116 min,18 Jun 1999,1999,"Crime, Drama, Mystery, Thriller",N/A,6.3,"49,625",Internet Movie Database,6.3/10,Rotten Tomatoes,22%,Metacritic,47/100
83,Ghost Dog: The Way of the Samurai,67,R,116 min,24 Mar 2000,1999,"Action, Crime, Drama, Thriller",N/A,7.5,"80,214",Internet Movie Database,7.5/10,Rotten Tomatoes,82%,Metacritic,67/100
84,"Girl, Interrupted",51,R,127 min,14 Jan 2000,1999,"Biography, Drama",N/A,7.3,"149,725",Internet Movie Database,7.3/10,Rotten Tomatoes,54%,Metacritic,51/100
85,Gloria,83,R,110 min,09 May 2013,2013,"Comedy, Drama, Romance","$1,587,655",6.8,"7,804",Internet Movie Database,6.8/10,Rotten Tomatoes,99%,Metacritic,83/100
86,Go,72,R,102 min,09 Apr 1999,1999,"Comedy, Crime",N/A,7.2,"64,532",Internet Movie Database,7.2/10,Rotten Tomatoes,91%,Metacritic,72/100
87,The Green Mile,61,R,189 min,10 Dec 1999,1999,"Crime, Drama, Fantasy, Mystery",N/A,8.6,"1,031,668",Internet Movie Database,8.6/10,Rotten Tomatoes,79%,Metacritic,61/100
88,Guinevere,68,R,104 min,12 Nov 1999,1999,"Drama, Romance",N/A,6.0,"2,297",Internet Movie Database,6.0/10,Rotten Tomatoes,86%,Metacritic,68/100
89,"Happy, Texas",62,PG-13,98 min,03 Dec 1999,1999,"Comedy, Crime, Romance",N/A,6.3,"9,237",Internet Movie Database,6.3/10,Rotten Tomatoes,81%,Metacritic,62/100
90,The Haunting,42,PG-13,113 min,23 Jul 1999,1999,"Fantasy, Horror, Mystery, Thriller",N/A,5.0,"67,589",Internet Movie Database,5.0/10,Rotten Tomatoes,16%,Metacritic,42/100
91,Heaven or Vegas,N/A,R,106 min,02 Feb 1999,1998,Drama,N/A,4.7,180,Internet Movie Database,4.7/10,null,null,null,null
92,Held Up,21,PG-13,89 min,12 May 2000,1999,Comedy,N/A,5.2,"3,292",Internet Movie Database,5.2/10,Rotten Tomatoes,17%,Metacritic,21/100
93,The Hi-Line,N/A,PG,95 min,05 May 2000,1999,Drama,N/A,6.3,337,Internet Movie Database,6.3/10,Rotten Tomatoes,67%,null,null
94,House on Haunted Hill,28,R,93 min,29 Oct 1999,1999,"Horror, Mystery, Thriller",N/A,5.6,"50,986",Internet Movie Database,5.6/10,Rotten Tomatoes,30%,Metacritic,28/100
95,The Hurricane,74,R,146 min,14 Jan 2000,1999,"Biography, Drama, Sport",N/A,7.6,"87,006",Internet Movie Database,7.6/10,Rotten Tomatoes,83%,Metacritic,74/100
96,An Ideal Husband,67,PG-13,97 min,30 Jun 1999,1999,"Comedy, Romance",N/A,6.9,"14,431",Internet Movie Database,6.9/10,Rotten Tomatoes,85%,Metacritic,67/100
97,Idle Hands,31,R,92 min,30 Apr 1999,1999,"Comedy, Fantasy, Horror, Thriller",N/A,6.2,"37,460",Internet Movie Database,6.2/10,Rotten Tomatoes,16%,Metacritic,31/100
98,In Dreams,N/A,R,100 min,15 Jan 1999,1999,"Drama, Fantasy, Thriller",N/A,5.5,"11,677",Internet Movie Database,5.5/10,Rotten Tomatoes,24%,null,null
99,In Too Deep,53,R,95 min,25 Aug 1999,1999,"Crime, Thriller, Drama",N/A,6.2,"5,367",Internet Movie Database,6.2/10,Rotten Tomatoes,36%,Metacritic,53/100
100,The Insider,84,R,157 min,05 Nov 1999,1999,"Biography, Drama, Thriller",N/A,7.8,"151,012",Internet Movie Database,7.8/10,Rotten Tomatoes,96%,Metacritic,84/100
101,Inspector Gadget,36,PG,78 min,23 Jul 1999,1999,"Action, Adventure, Comedy, Crime, Family, Sci-Fi",N/A,4.1,"42,429",Internet Movie Database,4.1/10,Rotten Tomatoes,21%,Metacritic,36/100
102,Instinct,43,R,126 min,04 Jun 1999,1999,"Drama, Thriller",N/A,6.6,"30,411",Internet Movie Database,6.6/10,Rotten Tomatoes,27%,Metacritic,43/100
103,The Iron Giant,85,PG,86 min,06 Aug 1999,1999,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",N/A,8.0,"159,007",Internet Movie Database,8.0/10,Rotten Tomatoes,96%,Metacritic,85/100
104,Jakob the Liar,40,PG-13,120 min,24 Sep 1999,1999,"Drama, War",N/A,6.5,"14,267",Internet Movie Database,6.5/10,Rotten Tomatoes,29%,Metacritic,40/100
105,Jawbreaker,22,R,87 min,19 Feb 1999,1999,"Comedy, Crime, Thriller",N/A,5.6,"22,443",Internet Movie Database,5.6/10,Rotten Tomatoes,11%,Metacritic,22/100
106,Jesus' Son,76,R,107 min,07 Jul 2000,1999,Drama,N/A,6.9,"6,686",Internet Movie Database,6.9/10,Rotten Tomatoes,81%,Metacritic,76/100
107,Joe the King,64,R,93 min,22 Jan 1999,1999,"Crime, Drama",N/A,6.8,"2,503",Internet Movie Database,6.8/10,Rotten Tomatoes,67%,Metacritic,64/100
108,Just a Little Harmless Sex,N/A,R,98 min,01 Oct 1998,1998,"Comedy, Romance",N/A,5.0,669,Internet Movie Database,5.0/10,Rotten Tomatoes,20%,null,null
109,Just the Ticket,N/A,R,115 min,26 Feb 1999,1998,"Comedy, Romance",N/A,5.6,"1,774",Internet Movie Database,5.6/10,Rotten Tomatoes,23%,null,null
110,K-911,N/A,PG-13,91 min,12 Dec 1999,1999,"Action, Comedy, Crime, Mystery",N/A,5.7,"3,918",Internet Movie Database,5.7/10,Rotten Tomatoes,17%,null,null
111,The King and I,72,G,133 min,29 Jun 1956,1956,"Biography, Drama, Musical, Romance",N/A,7.4,"22,385",Internet Movie Database,7.4/10,Rotten Tomatoes,96%,Metacritic,72/100
112,Kiss the Sky,N/A,R,107 min,09 Oct 1999,1998,"Drama, Romance",N/A,6.1,688,Internet Movie Database,6.1/10,null,null,null,null
113,Kiss Toledo Goodbye,N/A,R,96 min,15 Apr 2000,1999,"Comedy, Thriller",N/A,4.9,487,Internet Movie Database,4.9/10,null,null,null,null
114,Lake Placid,34,R,82 min,16 Jul 1999,1999,"Action, Comedy, Horror",N/A,5.7,"51,076",Internet Movie Database,5.7/10,Rotten Tomatoes,46%,Metacritic,34/100
115,Liberty Heights,75,R,127 min,31 Dec 1999,1999,"Drama, Music, Romance",N/A,7.1,"6,135",Internet Movie Database,7.1/10,Rotten Tomatoes,85%,Metacritic,75/100
116,Life,54,R,104 min,24 Mar 2017,2017,"Horror, Sci-Fi, Thriller","$30,180,466",6.6,"185,922",Internet Movie Database,6.6/10,Rotten Tomatoes,68%,Metacritic,54/100
117,Light It Up,43,R,99 min,10 Nov 1999,1999,"Drama, Thriller",N/A,6.0,"3,381",Internet Movie Database,6.0/10,Rotten Tomatoes,39%,Metacritic,43/100
118,The Limey,73,R,89 min,04 Aug 1999,1999,"Crime, Drama, Mystery, Thriller",N/A,7.1,"27,598",Internet Movie Database,7.1/10,Rotten Tomatoes,93%,Metacritic,73/100
119,Lost & Found,19,PG-13,95 min,23 Apr 1999,1999,"Comedy, Romance",N/A,5.0,"6,036",Internet Movie Database,5.0/10,Rotten Tomatoes,13%,Metacritic,19/100
120,The Love Letter,N/A,PG-13,88 min,21 May 1999,1999,"Comedy, Drama, Romance",N/A,5.4,"3,872",Internet Movie Database,5.4/10,Rotten Tomatoes,33%,null,null
121,Love Stinks,23,R,94 min,10 Sep 1999,1999,Comedy,N/A,5.8,"4,668",Internet Movie Database,5.8/10,Rotten Tomatoes,19%,Metacritic,23/100
122,Lovers Lane,N/A,Not Rated,90 min,31 Dec 1999,1999,"Horror, Mystery",N/A,3.9,912,Internet Movie Database,3.9/10,null,null,null,null
123,Lycanthrope,N/A,N/A,90 min,11 May 1999,1999,Horror,N/A,4.4,100,Internet Movie Database,4.4/10,null,null,null,null
124,Magnolia,77,R,188 min,07 Jan 2000,1999,Drama,N/A,8.0,"272,371",Internet Movie Database,8.0/10,Rotten Tomatoes,83%,Metacritic,77/100
125,Man of the Century,44,R,77 min,24 Jan 1999,1999,"Comedy, Romance",N/A,7.1,"1,130",Internet Movie Database,7.1/10,Rotten Tomatoes,71%,Metacritic,44/100
126,Man on the Moon,58,R,118 min,22 Dec 1999,1999,"Biography, Comedy, Drama",N/A,7.4,"117,435",Internet Movie Database,7.4/10,Rotten Tomatoes,63%,Metacritic,58/100
127,A Map of the World,65,R,125 min,21 Jan 2000,1999,Drama,N/A,6.7,"3,819",Internet Movie Database,6.7/10,Rotten Tomatoes,65%,Metacritic,65/100
128,The Mating Habits of the Earthbound Human,26,R,88 min,03 Sep 1999,1999,"Comedy, Sci-Fi",N/A,6.4,"5,870",Internet Movie Database,6.4/10,Rotten Tomatoes,33%,Metacritic,26/100
129,The Matrix,73,R,136 min,31 Mar 1999,1999,"Action, Sci-Fi",N/A,8.7,"1,529,908",Internet Movie Database,8.7/10,Rotten Tomatoes,88%,Metacritic,73/100
130,Message in a Bottle,39,PG-13,126 min,12 Feb 1999,1999,"Drama, Romance",N/A,6.2,"33,747",Internet Movie Database,6.2/10,Rotten Tomatoes,32%,Metacritic,39/100
131,The Messenger: The Story of Joan of Arc,54,R,148 min,12 Nov 1999,1999,"Adventure, Biography, Drama, History, War",N/A,6.4,"61,587",Internet Movie Database,6.4/10,Rotten Tomatoes,30%,Metacritic,54/100
132,Mickey Blue Eyes,49,PG-13,102 min,20 Aug 1999,1999,"Comedy, Crime, Romance",N/A,5.8,"33,071",Internet Movie Database,5.8/10,Rotten Tomatoes,45%,Metacritic,49/100
133,A Midsummer Night's Dream,61,PG-13,116 min,14 May 1999,1999,"Comedy, Fantasy, Romance",N/A,6.4,"23,409",Internet Movie Database,6.4/10,Metacritic,61/100,null,null
134,Miss Julie,56,PG-13,129 min,10 Sep 2014,2014,"Drama, Romance",N/A,5.4,"4,660",Internet Movie Database,5.4/10,Rotten Tomatoes,51%,Metacritic,56/100
135,The Mod Squad,16,R,92 min,26 Mar 1999,1999,"Action, Crime, Thriller",N/A,4.2,"8,348",Internet Movie Database,4.2/10,Rotten Tomatoes,3%,Metacritic,16/100
136,Mr. Death,N/A,N/A,15 min,01 Jun 2017,2016,"Documentary, Short, Comedy",N/A,N/A,N/A,null,null,null,null,null,null
137,Mumford,62,R,112 min,24 Sep 1999,1999,"Comedy, Drama",N/A,6.9,"8,528",Internet Movie Database,6.9/10,Rotten Tomatoes,57%,Metacritic,62/100
138,The Mummy,48,PG-13,124 min,07 May 1999,1999,"Action, Adventure, Fantasy",N/A,7.0,"370,170",Internet Movie Database,7.0/10,Rotten Tomatoes,59%,Metacritic,48/100
139,Muppets from Space,53,G,87 min,14 Jul 1999,1999,"Adventure, Comedy, Family, Fantasy, Sci-Fi",N/A,6.3,"16,915",Internet Movie Database,6.3/10,Rotten Tomatoes,63%,Metacritic,53/100
140,The Muse,56,PG-13,97 min,27 Aug 1999,1999,Comedy,N/A,5.7,"10,090",Internet Movie Database,5.7/10,Rotten Tomatoes,53%,Metacritic,56/100
141,Music of the Heart,54,PG,124 min,29 Oct 1999,1999,"Drama, Music",N/A,6.8,"11,364",Internet Movie Database,6.8/10,Rotten Tomatoes,63%,Metacritic,54/100
142,My Favorite Martian,33,PG,94 min,12 Feb 1999,1999,"Comedy, Family, Sci-Fi",N/A,5.0,"12,158",Internet Movie Database,5.0/10,Rotten Tomatoes,12%,Metacritic,33/100
143,My Voyage to Italy,90,PG-13,246 min,16 May 2002,1999,Documentary,N/A,8.3,"2,732",Internet Movie Database,8.3/10,Rotten Tomatoes,100%,Metacritic,90/100
144,"Mystery, Alaska",49,R,119 min,01 Oct 1999,1999,"Comedy, Drama, Sport",N/A,6.7,"24,472",Internet Movie Database,6.7/10,Rotten Tomatoes,38%,Metacritic,49/100
145,Mystery Men,65,PG-13,121 min,06 Aug 1999,1999,"Action, Comedy, Fantasy, Sci-Fi",N/A,6.1,"59,181",Internet Movie Database,6.1/10,Rotten Tomatoes,60%,Metacritic,65/100
146,Never Been Kissed,60,PG-13,107 min,09 Apr 1999,1999,"Comedy, Drama, Romance",N/A,6.0,"78,286",Internet Movie Database,6.0/10,Rotten Tomatoes,55%,Metacritic,60/100
147,The Ninth Gate,44,R,133 min,10 Mar 2000,1999,"Mystery, Thriller",N/A,6.7,"154,859",Internet Movie Database,6.7/10,Rotten Tomatoes,43%,Metacritic,44/100
