Title,Year
The Family Man,2000
Final Destination,2000
Finding Forrester,2000
The Flintstones in Viva Rock Vegas,2000
For Love or Country: The Arturo Sandoval Story,2000
Frequency,2000
Get Carter,2000
The Gift,2000
The Girl,2000
Girlfight,2000
Gladiator,2000
The Golden Bowl,2000
Gone in 60 Seconds,2000
Gossip,2000
Gun Shy,2000
Hamlet,2000
Hanging Up,2000
Held Up,2000
Here on Earth,2000
High Fidelity,2000
Highlander: Endgame,2000
Hollow Man,2000
The House of Mirth,2000
How the Grinch Stole Christmas,2000
How to Kill Your Neighbor's Dog,2000
I Dreamed of Africa,2000
Icebreaker,2000
The In Crowd,2000
Into the Arms of Strangers: Stories of the Kindertransport,2000
Isn't She Great,2000
Ivans Xtc,2000
Joe Gould's Secret,2000
Just One Night,2000
Keeping the Faith,2000
The Kid,2000
The Ladies Man,2000
The Last Producer,2000
Legacy,2000
The Legend of Bagger Vance,2000
Little Nicky,2000
The Little Vampire,2000
Long Night's Journey into Day,2000
Loser,2000
Lost Souls,2000
Love & Basketball,2000
Lucky Numbers,2000
Maryam,2000
Maze,2000
"Me, Myself & Irene",2000
Meet the Parents,2000
Memento,2000
Men of Honor,2000
Mercy Streets,2000
The Million Dollar Hotel,2000
Miss Congeniality,2000
Mission to Mars,2000
Mission: Impossible 2,2000
My Dog Skip,2000
My 5 Wives,2000
The Next Best Thing,2000
Next Friday,2000
Nothin' 2 Lose,2000
Nutty Professor II: The Klumps,2000
Nurse Betty,2000
"O Brother, Where Art Thou?",2000
The Opportunists,2000
The Original Kings of Comedy,2000
Our Song,2000
Panic,2000
Passion of Mind,2000
The Patriot,2000
Pay It Forward,2000
The Perfect Storm,2000
Picking Up the Pieces,2000
Pitch Black,2000
Pollock,2000
Poor White Trash,2000
Price of Glory,2000
Prince of Central Park,2000
Proof of Life,2000
Psycho Beach Party,2000
Quills,2000
Ready to Rumble,2000
Reckless Indifference,2000
Red Planet,2000
Reindeer Games,2000
Remember the Titans,2000
The Replacements,2000
Requiem for a Dream,2000
Return to Me,2000
The Road to El Dorado,2000
Road Trip,2000
Romeo Must Die,2000
Rugrats in Paris: The Movie,2000
Rules of Engagement,2000
A Rumor of Angels,2000
The Scarecrow,2000
Scary Movie,2000
Scottsboro: An American Tragedy,2000
Scream 3,2000
Screwed,2000
Seventeen Again,2000
Sexy Beast,2000
Shadow of the Vampire,2000
Shaft,2000
Shanghai Noon,2000
Shriek If You Know What I Did Last Friday the Thirteenth,2000
The Skulls,2000
Small Time Crooks,2000
The Smokers,2000
Snatch,2000
Snow Day,2000
Songcatcher,2000
Sound and Fury,2000
Space Cowboys,2000
The Specials,2000
Steal This Movie!,2000
Supernova,2000
The Tao of Steve,2000
Terror Tract,2000
Things You Can Tell Just by Looking at Her,2000
Thirteen Days,2000
Thomas & the Magic Railroad,2000
Tigerland,2000
The Tigger Movie,2000
Timecode,2000
Titan A.E.,2000
Traffic,2000
Tripfall,2000
Turn It Up,2000
U-571,2000
Unbreakable,2000
Under Suspicion,2000
Up at the Villa,2000
Urban Legends: Final Cut,2000
Vertical Limit,2000
The Visit,2000
Waking the Dead,2000
The Watcher,2000
The Way of the Gun,2000
What Lies Beneath,2000
What Planet Are You From?,2000
What Women Want,2000
Whatever It Takes,2000
Where the Heart Is,2000
Where the Money Is,2000
Whipped,2000
The Whole Nine Yards,2000
Woman on Top,2000
Wonder Boys,2000
X-Men,2000
The Yards,2000
You Can Count on Me,2000
15 Minutes,2001
3 A.M.,2001
3000 Miles to Graceland,2001
A.I. Artificial Intelligence,2001
The Affair of the Necklace,2001
Ali,2001
All Over the Guy,2001
Along Came a Spider,2001
The Amati Girls,2001
America's Sweethearts,2001
The American Astronaut,2001
American Outlaws,2001
American Pie 2,2001
An American Rhapsody,2001
Amy's Orgasm,2001
Angel Eyes,2001
The Animal,2001
The Anniversary Party,2001
Antitrust,2001
Atlantis: The Lost Empire,2001
Baby Boy,2001
Bandits,2001
Bartleby,2001
A Beautiful Mind,2001
Behind Enemy Lines,2001
The Believer,2001
Big Bad Love,2001
Black Hawk Down,2001
Black Knight,2001
Blow,2001
Bones,2001
Boom: The Sound of Eviction,2001
A Boy Named Sue,2001
The Brothers,2001
Bubble Boy,2001
Buffalo Soldiers,2001
Bully,2001
The Business of Strangers,2001
Captain Corelli's Mandolin,2001
The Cat's Meow,2001
Cats & Dogs,2001
The Caveman's Valentine,2001
The Center of the World,2001
Corky Romano,2001
CQ,2001
Crazy/Beautiful,2001
Crocodile Dundee in Los Angeles,2001
Cruel Intentions 2,2001
The Curse of the Jade Scorpion,2001
The Deep End,2001
Delivering Milo,2001
Den,2001
Dogtown and Z-Boys,2001
Domestic Disturbance,2001
Don't Say a Word,2001
Donnie Darko,2001
Double Take,2001
Down to Earth,2001
Dr. Dolittle 2,2001
Driven,2001
Dumb Luck,2001
Earth vs. the Spider,2001
Elvira's Haunted Hills,2001
Enemy at the Gates,2001
Escape from Hell,2001
Evolution,2001
Exit Wounds,2001
The Fast and the Furious,2001
Festival in Cannes,2001
Final Fantasy: The Spirits Within,2001
Finder's Fee,2001
The Fluffer,2001
The Forsaken,2001
Frailty,2001
Freddy Got Fingered,2001
From Hell,2001
Full Frontal,2001
Get Over It,2001
Ghost World,2001
Ghosts of Mars,2001
The Glass House,2001
Glitter,2001
God Didn't Give Me a Week's Notice,2001
Good Neighbor,2001
Gosford Park,2001
The Grey Zone,2001
Hannibal,2001
Hardball,2001
Harry Potter and the Sorcerer's Stone,2001
Harvard Man,2001
Head Over Heels,2001
Heartbreakers,2001
Hearts in Atlantis,2001
Hedwig and the Angry Inch,2001
Heist,2001
Herman U.S.A.,2001
How High,2001
How to Make a Monster,2001
Human Nature,2001
I Am Sam,2001
In the Bedroom,2001
Jay and Silent Bob Strike Back,2001
Jeepers Creepers,2001
Jimmy Neutron: Boy Genius,2001
The Jimmy Show,2001
Joe Dirt,2001
Joe Somebody,2001
Josie and the Pussycats,2001
Joy Ride,2001
Jurassic Park III,2001
Just Visiting,2001
K-PAX,2001
Kate & Leopold,2001
Kill Me Later,2001
Kingdom Come,2001
Kiss of the Dragon,2001
Kissing Jessica Stein,2001
A Knight's Tale,2001
Knockaround Guys,2001
L.I.E.,2001
Lara Croft: Tomb Raider,2001
The Last Castle,2001
Laughter on the 23rd Floor,2001
Legally Blonde,2001
Life as a House,2001
Lloyd,2001
The Lord of the Rings: The Fellowship of the Ring,2001
The Lost Skeleton of Cadavra,2001
Lovely & Amazing,2001
The Majestic,2001
The Man from Elysian Fields,2001
The Man Who Wasn't There,2001
Max Keeble's Big Move,2001
Megiddo: The Omega Code 2,2001
The Mexican,2001
Mockingbird Don't Sing,2001
Monkeybone,2001
Monsoon Wedding,2001
Monster's Ball,2001
"Monsters, Inc.",2001
A Month of Sundays,2001
Moulin Rouge!,2001
Mulholland Drive,2001
The Mummy Returns,2001
Murder on a Sunday Morning,2001
The Musketeer,2001
My Big Break,2001
My Big Fat Greek Wedding,2001
My First Mister,2001
Not Another Teen Movie,2001
Novocaine,2001
O,2001
Ocean's Eleven,2001
On the Line,2001
The One,2001
One Night at McCool's,2001
Original Sin,2001
Osmosis Jones,2001
The Others,2001
Out Cold,2001
Out of the Black,2001
The Pact,2001
Pearl Harbor,2001
Perfume,2001
Piñero,2001
Planet of the Apes,2001
The Pledge,2001
Pootie Tang,2001
The Princess Diaries,2001
Rat Race,2001
Recess: School's Out,2001
Revolution OS,2001
Riding in Cars with Boys,2001
Rock Star,2001
The Royal Tenenbaums,2001
Rush Hour 2,2001
The Safety of Objects,2001
Save the Last Dance,2001
Saving Silverman,2001
Say It Isn't So,2001
Scary Movie 2,2001
The Score,2001
"Scotland, Pennsylvania",2001
Scratch,2001
See Spot Run,2001
Serendipity,2001
Session 9,2001
Shallow Hal,2001
She Creature,2001
The Shipping News,2001
Shrek,2001
The Shrink Is In,2001
Sidewalks of New York,2001
Someone Like You,2001
Soul Survivors,2001
Southern Comfort,2001
Southlander,2001
Spy Game,2001
Spy Kids,2001
Storytelling,2001
Sugar & Spice,2001
Summer Catch,2001
Super Troopers,2001
Sweet November,2001
Swordfish,2001
The Tailor of Panama,2001
Tape,2001
Thirteen Conversations About One Thing,2001
Thirteen Ghosts,2001
To End All Wars,2001
Tomcats,2001
Tortilla Soup,2001
Town & Country,2001
Training Day,2001
Two Can Play That Game,2001
Uprising,2001
Valentine,2001
Vanilla Sky,2001
Waking Life,2001
The Wash,2001
The Wedding Planner,2001
West 47th Street,2001
Wet Hot American Summer,2001
What's the Worst That Could Happen?,2001
When Strangers Appear,2001
The Zeros,2001
Zoolander,2001
13 Moons,2002
25th Hour,2002
40 Days and 40 Nights,2002
8 Mile,2002
Abandon,2002
About a Boy,2002
About Schmidt,2002
Adaptation.,2002
The Adventures of Pluto Nash,2002
All About the Benjamins,2002
Analyze That,2002
Antwone Fisher,2002
Austin Powers in Goldmember,2002
Auto Focus,2002
Avenging Angelo,2002
Back by Midnight,2002
Bad Company,2002
Ballistic: Ecks vs. Sever,2002
The Banger Sisters,2002
Barbershop,2002
Below,2002
Better Luck Tomorrow,2002
Big Fat Liar,2002
Big Trouble,2002
Biggie & Tupac,2002
Birthday Girl,2002
