Insidious: The Last Key
The Strange Ones
Stratton
Sweet Country
The Commuter
Proud Mary
Acts of Violence
Freak Show
Humor Me
Vazante
Mary and the Witch's Flower
12 Strong
Den of Thieves
Forever My Girl
Maze Runner: The Death Cure
The Insult
Please Stand By
Winchester
A Fantastic Woman
Armed
The Cloverfield Paradox
Peter Rabbit
Fifty Shades Freed
The 15:17 to Paris
La Boda de Valentina
Kri
Permission
Monster Family
Golden Exits
Black Panther
Early Man
Loveless
The Party
Nostalgia
Black '47
Samson
Game Night
Annihilation
Every Day
The Cured
The Lodgers
Red Sparrow
Death Wish
The Vanishing of Sidney Hall
Foxtrot
Pickings
A Wrinkle in Time
Gringo
Thoroughbreds
The Death of Stalin
The Leisure Seeker
The Strangers: Prey at Night
The Hurricane Heist
Tomb Raider
"Love, Simon"
I Can Only Imagine
7 Days in Entebbe
Furlough
Josie
Flower
Pacific Rim: Uprising
Isle of Dogs
Sherlock Gnomes
Unsane
"Paul, Apostle of Christ"
Final Portrait
Midnight Sun
Followers
Ready Player One
Tyler Perry's Acrimony
God's Not Dead: A Light in Darkness
Gemini
The Last Movie Star



Title
A Quiet Place
Blockers
You Were Never Really Here
Chappaquiddick
Pandas
Lean on Pete
The Miracle Season
Beirut
Rampage
Truth or Dare
The Rider
Sgt. Stubby: An American Hero
I Feel Pretty
Super Troopers 2
Traffik
The House of Tomorrow
Liz and the Blue Bird
Avengers: Infinity War
Disobedience
Backstabbing for Beginners
Kings
Overboard
Tully
Bad Samaritan
The Cleanse
The Guardians
Life of the Party
Breaking In
The Seagull
Terminal
Revenge
Deadpool 2
Book Club
First Reformed
Pope Francis: A Man of His Word
Show Dogs
Solo: A Star Wars Story
How to Talk to Girls at Parties
In Darkness
The Misandrists
Future World
Action Point
Adrift
Upgrade
American Animals
Social Animals
Ocean's 8
Won't You Be My Neighbor?
Hereditary
Hotel Artemis
Superfly
Incredibles 2
Tag
On Chesil Beach
Gotti
Jurassic World: Fallen Kingdom
Boundaries
Damsel
The Domestics
Sicario: Day of the Soldado
Leave No Trace
Uncle Drew
Woman Walks Ahead



Title
The First Purge
Ant-Man and the Wasp
Sorry to Bother You
Whitney
Hotel Transylvania 3: Summer Vacation
Skyscraper
Eighth Grade
"Don't Worry, He Won't Get Far on Foot"
Shock and Awe
Mamma Mia! Here We Go Again
The Equalizer 2
Blindspotting
Unfriended: Dark Web
Bleach
Gauguin – Voyage de Tahiti
Mission: Impossible – Fallout
Teen Titans Go! To the Movies
Detective Dee: The Four Heavenly Kings
Hot Summer Nights
Puzzle
Christopher Robin
The Darkest Minds
The Spy Who Dumped Me
The Miseducation of Cameron Post
Never Goin' Back
Dog Days
The Meg
BlacKkKlansman
Slender Man
A Prayer Before Dawn
Crazy Rich Asians
Alpha
Mile 22
The Wife
Billionaire Boys Club
"Juliet, Naked"
Down a Dark Hall
The Happytime Murders
Searching
Papillon
A.X.L.
Operation Finale
Kin
The Little Stranger
Destination Wedding
The Nun
Peppermint
The Predator
White Boy Rick
A Simple Favor
The Children Act
Lizzie
Unbroken: Path to Redemption
The House with a Clock in Its Walls
Life Itself
The Sisters Brothers
Assassination Nation
Colette
Fahrenheit 11/9
My Son
"Love, Gilda"
My Hero Academia: Two Heroes
Smallfoot
Night School
The Old Man & the Gun
Hell Fest



Title
Power of the Air
Venom
A Star Is Born
The Hate U Give
The Happy Prince
First Man
Bad Times at the El Royale
Goosebumps 2: Haunted Halloween
Beautiful Boy
The Oath
Gosnell: The Trial of America's Biggest Serial Killer
Halloween
Can You Ever Forgive Me?
Mid90s
Wildlife
What They Had
Hunter Killer
Johnny English Strikes Again
Suspiria
Indivisible
Bullitt County
Bohemian Rhapsody
The Nutcracker and the Four Realms
Nobody's Fool
Boy Erased
A Private War
Bodied
The Front Runner
The Grinch
The Girl in the Spider's Web
Overlord
Lazer Team 2
Conundrum: Secrets Among Friends
Fantastic Beasts: The Crimes of Grindelwald
Widows
Instant Family
Ralph Breaks the Internet
Creed II
Robin Hood
Green Book
Roma
The Favourite
Shoplifters
Mowgli: Legend of the Jungle
The Possession of Hannah Grace
Anna and the Apocalypse
Capernaum
Mary Queen of Scots
Ben Is Back
Spider-Man: Into the Spider-Verse
Mortal Engines
The Mule
If Beale Street Could Talk
Mary Poppins Returns
Aquaman
Bumblebee
Welcome to Marwen
Second Act
Cold War
Holmes & Watson
Vice
On the Basis of Sex
Destroyer
Black Mirror: Bandersnatch
