Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
Kicking & Screaming,45.0,PG,95 min,13 May 2005,"Comedy, Family, Romance, Sport",52580895.0,5.6,"34,222",Internet Movie Database,5.6,Rotten Tomatoes,4.0,Metacritic,4.5,05,2005
King Kong,81.0,PG-13,187 min,14 Dec 2005,"Action, Adventure, Drama, Romance",218100000.0,7.2,"371,154",Internet Movie Database,7.2,Rotten Tomatoes,8.4,Metacritic,8.1,12,2005
King's Ransom,11.0,PG-13,95 min,22 Apr 2005,"Comedy, Crime",3998889.0,4.2,"3,457",Internet Movie Database,4.2,Rotten Tomatoes,0.2,Metacritic,1.1,04,2005
Kingdom of Heaven,63.0,R,144 min,06 May 2005,"Action, Adventure, Drama, History, War",47259055.0,7.2,"252,406",Internet Movie Database,7.2,Rotten Tomatoes,3.9,Metacritic,6.3,05,2005
Kiss Kiss Bang Bang,72.0,R,103 min,18 Nov 2005,"Action, Comedy, Crime, Mystery, Thriller",4200000.0,7.5,"203,875",Internet Movie Database,7.5,Rotten Tomatoes,8.5,Metacritic,7.2,11,2005
Land of the Dead,71.0,R,93 min,24 Jun 2005,"Horror, Sci-Fi, Thriller",20433940.0,6.2,"87,704",Internet Movie Database,6.2,Rotten Tomatoes,7.4,Metacritic,7.1,06,2005
Last Days,67.0,R,97 min,13 May 2005,"Drama, Music",356500.0,5.8,"20,753",Internet Movie Database,5.8,Rotten Tomatoes,5.7,Metacritic,6.7,05,2005
The Legend of Zorro,47.0,PG,129 min,28 Oct 2005,"Action, Adventure, Romance, Thriller, Western",45356386.0,5.9,"87,088",Internet Movie Database,5.9,Rotten Tomatoes,2.6,Metacritic,4.7,10,2005
The Longest Yard,48.0,PG-13,113 min,27 May 2005,"Comedy, Crime, Sport",157900000.0,6.4,"152,239",Internet Movie Database,6.4,Rotten Tomatoes,3.1,Metacritic,4.8,05,2005
Lord of War,62.0,R,122 min,16 Sep 2005,"Action, Crime, Drama, Thriller",24033036.0,7.6,"279,864",Internet Movie Database,7.6,Rotten Tomatoes,6.2,Metacritic,6.2,09,2005
Lords of Dogtown,56.0,PG-13,107 min,03 Jun 2005,"Biography, Drama, Sport",11008432.0,7.1,"49,665",Internet Movie Database,7.1,Rotten Tomatoes,5.5,Metacritic,5.6,06,2005
The Lost City,47.0,R,144 min,26 May 2006,"Drama, Romance",2434066.0,6.6,"8,932",Internet Movie Database,6.6,Rotten Tomatoes,2.5,Metacritic,4.7,05,2006
A Lot Like Love,48.0,PG-13,107 min,22 Apr 2005,"Comedy, Drama, Romance",21835784.0,6.6,"65,154",Internet Movie Database,6.6,Rotten Tomatoes,4.1,Metacritic,4.8,04,2005
Mad Hot Ballroom,71.0,PG,105 min,01 Jul 2005,"Documentary, Family, Music",7899271.0,7.5,"3,259",Internet Movie Database,7.5,Rotten Tomatoes,8.4,Metacritic,7.1,07,2005
Madagascar,57.0,PG,86 min,27 May 2005,"Animation, Adventure, Comedy, Family",193136719.0,6.9,"337,487",Internet Movie Database,6.9,Rotten Tomatoes,5.4,Metacritic,5.7,05,2005
The Man,33.0,PG-13,83 min,09 Sep 2005,"Action, Comedy, Crime",8300000.0,5.5,"24,006",Internet Movie Database,5.5,Rotten Tomatoes,1.2,Metacritic,3.3,09,2005
Man of the House,35.0,PG-13,100 min,25 Feb 2005,"Comedy, Crime",19118247.0,5.4,"21,887",Internet Movie Database,5.4,Rotten Tomatoes,0.9,Metacritic,3.5,02,2005
The Matador,65.0,R,96 min,27 Jan 2006,"Comedy, Crime, Thriller",12449517.0,6.7,"42,800",Internet Movie Database,6.7,Rotten Tomatoes,7.5,Metacritic,6.5,01,2006
Match Point,72.0,R,124 min,20 Jan 2006,"Drama, Romance, Thriller",23100000.0,7.6,"193,295",Internet Movie Database,7.6,Rotten Tomatoes,7.6,Metacritic,7.2,01,2006
Me and You and Everyone We Know,76.0,R,91 min,05 Aug 2005,"Comedy, Drama",3800000.0,7.3,"33,486",Internet Movie Database,7.3,Rotten Tomatoes,8.2,Metacritic,7.6,08,2005
Memoirs of a Geisha,54.0,PG-13,145 min,23 Dec 2005,"Drama, Romance",57000000.0,7.4,"132,509",Internet Movie Database,7.4,Rotten Tomatoes,3.5,Metacritic,5.4,12,2005
Mirrormask,55.0,PG,101 min,03 Mar 2006,"Adventure, Fantasy",802961.0,6.8,"21,801",Internet Movie Database,6.8,Rotten Tomatoes,5.4,Metacritic,5.5,03,2006
Monster-in-Law,31.0,PG-13,101 min,13 May 2005,"Comedy, Romance",82820167.0,5.5,"52,973",Internet Movie Database,5.5,Rotten Tomatoes,1.7,Metacritic,3.1,05,2005
Mr. & Mrs. Smith,55.0,PG-13,120 min,10 Jun 2005,"Action, Comedy, Crime, Thriller",186200000.0,6.5,"421,513",Internet Movie Database,6.5,Rotten Tomatoes,5.9,Metacritic,5.5,06,2005
Munich,74.0,R,164 min,06 Jan 2006,"Biography, Crime, Drama, History, Thriller",47379090.0,7.5,"200,210",Internet Movie Database,7.5,Rotten Tomatoes,7.8,Metacritic,7.4,01,2006
Murderball,87.0,R,88 min,05 Aug 2005,"Documentary, Sport",1328551.0,7.7,"9,564",Internet Movie Database,7.7,Rotten Tomatoes,9.8,Metacritic,8.7,08,2005
Must Love Dogs,46.0,PG-13,98 min,29 Jul 2005,"Comedy, Romance",43800000.0,5.9,"29,347",Internet Movie Database,5.9,Rotten Tomatoes,3.6,Metacritic,4.6,07,2005
Nanny McPhee,59.0,PG,97 min,27 Jan 2006,"Comedy, Family, Fantasy",47124400.0,6.5,"62,382",Internet Movie Database,6.5,Rotten Tomatoes,7.3,Metacritic,5.9,01,2006
The New World,69.0,PG-13,135 min,20 Jan 2006,"Biography, Drama, History, Romance",12465566.0,6.7,"79,116",Internet Movie Database,6.7,Rotten Tomatoes,6.3,Metacritic,6.9,01,2006
Nine Lives,11.0,PG,87 min,05 Aug 2016,"Comedy, Drama, Family, Fantasy",19637449.0,5.3,"18,848",Internet Movie Database,5.3,Rotten Tomatoes,1.4,Metacritic,1.1,08,2016
North Country,68.0,R,126 min,21 Oct 2005,Drama,18324242.0,7.3,"37,496",Internet Movie Database,7.3,Rotten Tomatoes,6.9,Metacritic,6.8,10,2005
The Pacifier,30.0,PG,95 min,04 Mar 2005,"Action, Comedy, Drama, Family",113006880.0,5.6,"81,450",Internet Movie Database,5.6,Rotten Tomatoes,2.0,Metacritic,3.0,03,2005
The Perfect Man,27.0,PG,100 min,17 Jun 2005,"Comedy, Family, Romance",16247775.0,5.5,"27,051",Internet Movie Database,5.5,Rotten Tomatoes,0.6,Metacritic,2.7,06,2005
Pooh's Heffalump Movie,64.0,G,68 min,11 Feb 2005,"Animation, Comedy, Family, Fantasy, Musical, Mystery",18013938.0,6.4,"5,747",Internet Movie Database,6.4,Rotten Tomatoes,8.0,Metacritic,6.4,02,2005
Pretty Persuasion,45.0,R,104 min,25 May 2006,"Comedy, Drama",58570.0,6.5,"9,463",Internet Movie Database,6.5,Rotten Tomatoes,3.2,Metacritic,4.5,05,2006
Prime,58.0,PG-13,105 min,28 Oct 2005,"Comedy, Drama, Romance",22728025.0,6.2,"38,364",Internet Movie Database,6.2,Rotten Tomatoes,5.0,Metacritic,5.8,10,2005
"The Prize Winner of Defiance, Ohio",58.0,PG-13,99 min,01 Jun 2007,"Biography, Drama",440994.0,7.3,"6,717",Internet Movie Database,7.3,Rotten Tomatoes,5.8,Metacritic,5.8,06,2007
Proof,64.0,PG-13,100 min,07 Oct 2005,"Drama, Mystery",7468700.0,6.7,"41,349",Internet Movie Database,6.7,Rotten Tomatoes,6.3,Metacritic,6.4,10,2005
The Quiet,29.0,R,96 min,25 Aug 2006,"Crime, Drama, Thriller",289969.0,6.4,"14,560",Internet Movie Database,6.4,Rotten Tomatoes,2.1,Metacritic,2.9,08,2006
Racing Stripes,43.0,PG,102 min,14 Jan 2005,"Adventure, Comedy, Drama, Family, Sport",49186871.0,5.2,"14,866",Internet Movie Database,5.2,Rotten Tomatoes,3.5,Metacritic,4.3,01,2005
Rebound,36.0,PG,86 min,01 Jul 2005,"Comedy, Family, Sport",16708656.0,5.1,"11,841",Internet Movie Database,5.1,Rotten Tomatoes,1.4,Metacritic,3.6,07,2005
Red Eye,71.0,PG-13,85 min,19 Aug 2005,"Mystery, Thriller",57859105.0,6.4,"106,283",Internet Movie Database,6.4,Rotten Tomatoes,7.9,Metacritic,7.1,08,2005
Rent,53.0,PG-13,135 min,23 Nov 2005,"Drama, Musical, Romance",29077547.0,6.9,"46,956",Internet Movie Database,6.9,Rotten Tomatoes,4.6,Metacritic,5.3,11,2005
The Ring Two,44.0,PG-13,110 min,18 Mar 2005,"Horror, Mystery",75888270.0,5.4,"86,866",Internet Movie Database,5.4,Rotten Tomatoes,2.0,Metacritic,4.4,03,2005
The Ringer,46.0,PG-13,94 min,23 Dec 2005,"Comedy, Sport",35019634.0,5.8,"33,897",Internet Movie Database,5.8,Rotten Tomatoes,4.0,Metacritic,4.6,12,2005
Rize,74.0,PG-13,86 min,24 Jun 2005,"Documentary, Music",3278611.0,7.1,"2,993",Internet Movie Database,7.1,Rotten Tomatoes,8.4,Metacritic,7.4,06,2005
Robots,64.0,PG,91 min,11 Mar 2005,"Animation, Adventure, Comedy, Family, Sci-Fi",128107031.0,6.3,"124,120",Internet Movie Database,6.3,Rotten Tomatoes,6.4,Metacritic,6.4,03,2005
Rumor Has It...,35.0,PG-13,97 min,25 Dec 2005,"Comedy, Drama, Romance",42900000.0,5.5,"49,126",Internet Movie Database,5.5,Rotten Tomatoes,2.0,Metacritic,3.5,12,2005
Sahara,41.0,PG-13,124 min,08 Apr 2005,"Action, Comedy, Thriller",68642452.0,6.0,"87,456",Internet Movie Database,6.0,Rotten Tomatoes,3.8,Metacritic,4.1,04,2005
Sarah Silverman: Jesus Is Magic,63.0,Not Rated,72 min,09 Dec 2005,"Documentary, Comedy, Music",1206252.0,6.5,"5,283",Internet Movie Database,6.5,Rotten Tomatoes,6.4,Metacritic,6.3,12,2005
Saw II,40.0,R,93 min,28 Oct 2005,"Horror, Mystery",87025093.0,6.6,"219,684",Internet Movie Database,6.6,Rotten Tomatoes,3.7,Metacritic,4.0,10,2005
Serenity,74.0,PG-13,119 min,30 Sep 2005,"Action, Adventure, Sci-Fi, Thriller",25335935.0,7.8,"272,519",Internet Movie Database,7.8,Rotten Tomatoes,8.3,Metacritic,7.4,09,2005
Shadowboxer,33.0,R,93 min,14 Jul 2006,"Action, Crime, Drama, Thriller",317695.0,5.6,"6,346",Internet Movie Database,5.6,Rotten Tomatoes,1.9,Metacritic,3.3,07,2006
Shopgirl,62.0,R,106 min,04 Nov 2005,"Drama, Romance",10082747.0,6.3,"22,735",Internet Movie Database,6.3,Rotten Tomatoes,6.0,Metacritic,6.2,11,2005
The Sisterhood of the Traveling Pants,66.0,PG,119 min,01 Jun 2005,"Comedy, Drama, Romance",43504854.0,6.5,"51,421",Internet Movie Database,6.5,Rotten Tomatoes,7.7,Metacritic,6.6,06,2005
The Skeleton Key,47.0,PG-13,104 min,12 Aug 2005,"Drama, Horror, Mystery, Thriller",47729605.0,6.5,"100,673",Internet Movie Database,6.5,Rotten Tomatoes,3.7,Metacritic,4.7,08,2005
Sky High,62.0,PG,100 min,29 Jul 2005,"Adventure, Comedy, Family, Sci-Fi",63939454.0,6.1,"73,046",Internet Movie Database,6.1,Rotten Tomatoes,7.3,Metacritic,6.2,07,2005
Son of the Mask,20.0,PG,94 min,18 Feb 2005,"Comedy, Family, Fantasy",16967576.0,2.2,"49,565",Internet Movie Database,2.2,Rotten Tomatoes,0.6,Metacritic,2.0,02,2005
A Sound of Thunder,24.0,PG-13,101 min,02 Sep 2005,"Action, Adventure, Horror, Sci-Fi, Thriller",1717608.0,4.2,"18,158",Internet Movie Database,4.2,Rotten Tomatoes,0.6,Metacritic,2.4,09,2005
The Squid and the Whale,82.0,R,81 min,16 Dec 2005,"Comedy, Drama",7073391.0,7.4,"69,540",Internet Movie Database,7.4,Rotten Tomatoes,9.3,Metacritic,8.2,12,2005
Stay,41.0,R,99 min,21 Oct 2005,"Drama, Mystery, Thriller",3349167.0,6.8,"70,736",Internet Movie Database,6.8,Rotten Tomatoes,2.7,Metacritic,4.1,10,2005
Stealth,35.0,PG-13,121 min,29 Jul 2005,"Action, Adventure, Sci-Fi, Thriller",31704416.0,5.1,"49,887",Internet Movie Database,5.1,Rotten Tomatoes,1.2,Metacritic,3.5,07,2005
Supercross,26.0,PG-13,80 min,17 Aug 2005,"Action, Drama, Romance, Sport",3045751.0,4.3,"4,258",Internet Movie Database,4.3,Rotten Tomatoes,0.5,Metacritic,2.6,08,2005
Syriana,76.0,R,128 min,09 Dec 2005,"Drama, Thriller",50800000.0,6.9,"120,696",Internet Movie Database,6.9,Rotten Tomatoes,7.3,Metacritic,7.6,12,2005
The Thing About My Folks,48.0,PG-13,96 min,23 Sep 2005,"Comedy, Drama",710031.0,6.6,"2,173",Internet Movie Database,6.6,Rotten Tomatoes,4.5,Metacritic,4.8,09,2005
Thumbsucker,69.0,R,96 min,07 Oct 2005,"Comedy, Drama",1111641.0,6.6,"20,075",Internet Movie Database,6.6,Rotten Tomatoes,7.1,Metacritic,6.9,10,2005
Transamerica,66.0,R,103 min,03 Mar 2006,"Adventure, Comedy, Drama",8713873.0,7.4,"39,160",Internet Movie Database,7.4,Rotten Tomatoes,7.7,Metacritic,6.6,03,2006
Two for the Money,50.0,R,122 min,07 Oct 2005,"Drama, Sport, Thriller",22862049.0,6.3,"41,386",Internet Movie Database,6.3,Rotten Tomatoes,2.2,Metacritic,5.0,10,2005
Underclassman,19.0,PG-13,95 min,02 Sep 2005,"Action, Comedy, Crime, Drama, Thriller",5567645.0,4.2,"5,260",Internet Movie Database,4.2,Rotten Tomatoes,0.6,Metacritic,1.9,09,2005
Undiscovered,29.0,PG-13,97 min,26 Aug 2005,"Comedy, Music, Romance",1046166.0,4.3,"2,702",Internet Movie Database,4.3,Rotten Tomatoes,0.8,Metacritic,2.9,08,2005
An Unfinished Life,49.0,PG-13,108 min,16 Sep 2005,"Drama, Family, Romance",8535575.0,7.0,"27,466",Internet Movie Database,7.0,Rotten Tomatoes,5.2,Metacritic,4.9,09,2005
The Upside of Anger,63.0,R,118 min,01 Apr 2005,"Comedy, Drama",18742061.0,6.8,"20,609",Internet Movie Database,6.8,Rotten Tomatoes,7.4,Metacritic,6.3,04,2005
Waiting...,30.0,R,94 min,07 Oct 2005,Comedy,16101109.0,6.8,"84,761",Internet Movie Database,6.8,Rotten Tomatoes,3.1,Metacritic,3.0,10,2005
Walk the Line,72.0,PG-13,136 min,18 Nov 2005,"Biography, Drama, Music, Romance",119317827.0,7.8,"214,558",Internet Movie Database,7.8,Rotten Tomatoes,8.3,Metacritic,7.2,11,2005
War of the Worlds,73.0,PG-13,116 min,29 Jun 2005,"Adventure, Sci-Fi",234141872.0,6.5,"391,234",Internet Movie Database,6.5,Rotten Tomatoes,7.5,Metacritic,7.3,06,2005
The Weather Man,61.0,R,102 min,28 Oct 2005,"Comedy, Drama",12469811.0,6.5,"75,097",Internet Movie Database,6.5,Rotten Tomatoes,5.9,Metacritic,6.1,10,2005
Wedding Crashers,64.0,R,119 min,15 Jul 2005,"Comedy, Romance",209218368.0,6.9,"316,948",Internet Movie Database,6.9,Rotten Tomatoes,7.5,Metacritic,6.4,07,2005
The Wedding Date,32.0,PG-13,90 min,04 Feb 2005,"Comedy, Romance",32000000.0,6.1,"45,478",Internet Movie Database,6.1,Rotten Tomatoes,1.1,Metacritic,3.2,02,2005
White Noise,30.0,PG-13,101 min,07 Jan 2005,"Drama, Horror, Mystery, Thriller",55865715.0,5.5,"45,623",Internet Movie Database,5.5,Rotten Tomatoes,0.7,Metacritic,3.0,01,2005
Why We Fight,68.0,PG-13,98 min,01 Jan 2005,"Documentary, History, War",1880863.0,8.0,"9,573",Internet Movie Database,8.0,Rotten Tomatoes,7.9,Metacritic,6.8,01,2005
The World's Fastest Indian,68.0,PG-13,127 min,24 Mar 2006,"Biography, Drama, Sport",5100000.0,7.8,"49,397",Internet Movie Database,7.8,Rotten Tomatoes,8.2,Metacritic,6.8,03,2006
xXx: State of the Union,37.0,PG-13,101 min,29 Apr 2005,"Action, Adventure, Crime, Sci-Fi, Thriller",26082914.0,4.4,"64,319",Internet Movie Database,4.4,Rotten Tomatoes,1.7,Metacritic,3.7,04,2005
Zathura: A Space Adventure,67.0,PG,101 min,11 Nov 2005,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",28045540.0,6.1,"85,031",Internet Movie Database,6.1,Rotten Tomatoes,7.5,Metacritic,6.7,11,2005
10 Items or Less,54.0,R,82 min,08 Feb 2007,"Comedy, Drama",69265.0,6.6,"13,862",Internet Movie Database,6.6,Rotten Tomatoes,6.3,Metacritic,5.4,02,2007
16 Blocks,63.0,PG-13,102 min,03 Mar 2006,"Action, Crime, Drama, Thriller",36900000.0,6.6,"122,411",Internet Movie Database,6.6,Rotten Tomatoes,5.6,Metacritic,6.3,03,2006
Accepted,47.0,PG-13,93 min,18 Aug 2006,Comedy,36300285.0,6.4,"117,341",Internet Movie Database,6.4,Rotten Tomatoes,3.7,Metacritic,4.7,08,2006
The Day After Tomorrow,47.0,PG-13,124 min,28 May 2004,"Action, Adventure, Sci-Fi, Thriller",186583549.0,6.4,"390,612",Internet Movie Database,6.4,Rotten Tomatoes,4.4,Metacritic,4.7,05,2004
Akeelah and the Bee,72.0,PG,112 min,28 Apr 2006,"Drama, Family",18811135.0,7.3,"17,360",Internet Movie Database,7.3,Rotten Tomatoes,8.5,Metacritic,7.2,04,2006
Amazing Grace,65.0,PG,118 min,23 Feb 2007,"Biography, Drama, History, Romance",21156133.0,7.5,"22,986",Internet Movie Database,7.5,Rotten Tomatoes,6.8,Metacritic,6.5,02,2007
American Dreamz,45.0,PG-13,107 min,21 Apr 2006,"Comedy, Music",7156725.0,5.4,"23,771",Internet Movie Database,5.4,Rotten Tomatoes,3.8,Metacritic,4.5,04,2006
Annapolis,37.0,PG-13,108 min,27 Jan 2006,"Drama, Romance, Sport",16814615.0,5.9,"19,690",Internet Movie Database,5.9,Rotten Tomatoes,1.0,Metacritic,3.7,01,2006
Another Gay Movie,37.0,Not Rated,92 min,03 May 2007,"Comedy, Romance",1000000.0,5.0,"8,452",Internet Movie Database,5.0,Rotten Tomatoes,4.0,Metacritic,3.7,05,2007
The Ant Bully,59.0,PG,88 min,28 Jul 2006,"Animation, Adventure, Comedy, Family, Fantasy",28100000.0,5.8,"34,873",Internet Movie Database,5.8,Rotten Tomatoes,6.2,Metacritic,5.9,07,2006
Apocalypto,68.0,R,139 min,08 Dec 2006,"Action, Adventure, Drama, Thriller",50772724.0,7.8,"272,756",Internet Movie Database,7.8,Rotten Tomatoes,6.6,Metacritic,6.8,12,2006
Aquamarine,51.0,PG,104 min,03 Mar 2006,"Comedy, Family, Fantasy, Romance",18562160.0,5.3,"35,932",Internet Movie Database,5.3,Rotten Tomatoes,5.1,Metacritic,5.1,03,2006
Art School Confidential,54.0,R,102 min,12 May 2006,"Comedy, Drama, Romance",3174973.0,6.3,"16,139",Internet Movie Database,6.3,Rotten Tomatoes,3.6,Metacritic,5.4,05,2006
Ask the Dust,58.0,R,117 min,13 Apr 2006,"Drama, Romance",630802.0,5.8,"8,885",Internet Movie Database,5.8,Rotten Tomatoes,3.5,Metacritic,5.8,04,2006
The Astronaut Farmer,55.0,PG,104 min,23 Feb 2007,"Adventure, Drama, Sci-Fi",10953736.0,6.3,"21,380",Internet Movie Database,6.3,Rotten Tomatoes,5.8,Metacritic,5.5,02,2007
ATL,63.0,PG-13,105 min,31 Mar 2006,"Comedy, Crime, Drama, Music, Romance",21160089.0,6.1,"10,340",Internet Movie Database,6.1,Rotten Tomatoes,6.1,Metacritic,6.3,03,2006
Babel,69.0,R,143 min,10 Nov 2006,Drama,34237104.0,7.4,"275,417",Internet Movie Database,7.4,Rotten Tomatoes,6.9,Metacritic,6.9,11,2006
Barnyard,42.0,PG,90 min,04 Aug 2006,"Animation, Adventure, Comedy, Drama, Family",72601713.0,5.5,"25,409",Internet Movie Database,5.5,Rotten Tomatoes,2.2,Metacritic,4.2,08,2006
Basic Instinct 2,26.0,R,114 min,31 Mar 2006,"Drama, Mystery, Thriller",5851188.0,4.3,"35,481",Internet Movie Database,4.3,Rotten Tomatoes,0.7,Metacritic,2.6,03,2006
Beerfest,46.0,R,110 min,25 Aug 2006,Comedy,19037418.0,6.3,"61,448",Internet Movie Database,6.3,Rotten Tomatoes,4.0,Metacritic,4.6,08,2006
Bella,47.0,PG-13,91 min,30 Nov 2007,"Drama, Romance",7884317.0,7.3,"10,098",Internet Movie Database,7.3,Rotten Tomatoes,4.2,Metacritic,4.7,11,2007
The Benchwarmers,25.0,PG-13,80 min,07 Apr 2006,"Comedy, Sport",57651794.0,5.5,"46,079",Internet Movie Database,5.5,Rotten Tomatoes,1.1,Metacritic,2.5,04,2006
Big Momma's House 2,34.0,PG-13,99 min,27 Jan 2006,"Comedy, Crime",70121252.0,4.7,"38,162",Internet Movie Database,4.7,Rotten Tomatoes,0.6,Metacritic,3.4,01,2006
The Black Dahlia,49.0,R,121 min,15 Sep 2006,"Crime, Drama, Mystery, Thriller",22518325.0,5.6,"68,872",Internet Movie Database,5.6,Rotten Tomatoes,3.3,Metacritic,4.9,09,2006
Blood Diamond,64.0,R,143 min,08 Dec 2006,"Adventure, Drama, Thriller",57300000.0,8.0,"468,307",Internet Movie Database,8.0,Rotten Tomatoes,6.3,Metacritic,6.4,12,2006
Bobby,54.0,R,117 min,23 Nov 2006,"Biography, Drama, History",11098707.0,7.0,"40,184",Internet Movie Database,7.0,Rotten Tomatoes,4.6,Metacritic,5.4,11,2006
Brand Upon the Brain!,79.0,Not Rated,95 min,24 Sep 2008,"Comedy, Drama, Fantasy, Romance, Sci-Fi",201013.0,7.4,"3,174",Internet Movie Database,7.4,Rotten Tomatoes,9.1,Metacritic,7.9,09,2008
Breaking and Entering,56.0,R,120 min,10 Nov 2006,"Crime, Drama, Romance",880510.0,6.5,"21,276",Internet Movie Database,6.5,Rotten Tomatoes,3.4,Metacritic,5.6,11,2006
The Break-Up,45.0,PG-13,106 min,02 Jun 2006,"Comedy, Drama, Romance",118683135.0,5.8,"118,448",Internet Movie Database,5.8,Rotten Tomatoes,3.4,Metacritic,4.5,06,2006
Broken Bridges,32.0,PG-13,105 min,08 Sep 2006,"Drama, Music",219103.0,6.0,"1,564",Internet Movie Database,6.0,Rotten Tomatoes,0.5,Metacritic,3.2,09,2006
Cars,73.0,G,117 min,09 Jun 2006,"Animation, Family, Sport",244052771.0,7.1,"334,999",Internet Movie Database,7.1,Rotten Tomatoes,7.5,Metacritic,7.3,06,2006
Casino Royale,80.0,PG-13,144 min,17 Nov 2006,"Action, Adventure, Thriller",167007184.0,8.0,"544,740",Internet Movie Database,8.0,Rotten Tomatoes,9.4,Metacritic,8.0,11,2006
Catch a Fire,62.0,PG-13,101 min,27 Oct 2006,"Biography, Drama, History",4291965.0,6.7,"9,785",Internet Movie Database,6.7,Rotten Tomatoes,7.5,Metacritic,6.2,10,2006
Charlotte's Web,68.0,G,97 min,15 Dec 2006,"Comedy, Family, Fantasy",82100000.0,6.3,"34,122",Internet Movie Database,6.3,Rotten Tomatoes,7.9,Metacritic,6.8,12,2006
Children of Men,84.0,R,109 min,05 Jan 2007,"Drama, Sci-Fi, Thriller",35100000.0,7.9,"433,496",Internet Movie Database,7.9,Rotten Tomatoes,9.2,Metacritic,8.4,01,2007
Civic Duty,48.0,R,98 min,11 Sep 2008,"Drama, Thriller",54902.0,6.3,"3,265",Internet Movie Database,6.3,Rotten Tomatoes,5.7,Metacritic,4.8,09,2008
Clerks II,65.0,R,97 min,21 Jul 2006,Comedy,23951963.0,7.3,"125,320",Internet Movie Database,7.3,Rotten Tomatoes,6.3,Metacritic,6.5,07,2006
Click,45.0,PG-13,107 min,23 Jun 2006,"Comedy, Drama, Fantasy, Romance",137340146.0,6.4,"286,982",Internet Movie Database,6.4,Rotten Tomatoes,3.3,Metacritic,4.5,06,2006
Come Early Morning,64.0,R,97 min,31 Aug 2007,"Drama, Romance",50160.0,6.2,"2,470",Internet Movie Database,6.2,Rotten Tomatoes,8.3,Metacritic,6.4,08,2007
Copying Beethoven,59.0,PG-13,104 min,08 Mar 2007,"Biography, Drama, Music",210945.0,6.8,"12,367",Internet Movie Database,6.8,Rotten Tomatoes,2.8,Metacritic,5.9,03,2007
The Covenant,19.0,PG-13,97 min,08 Sep 2006,"Action, Fantasy, Horror, Thriller",23292105.0,5.3,"44,734",Internet Movie Database,5.3,Rotten Tomatoes,0.4,Metacritic,1.9,09,2006
Crank,57.0,R,88 min,01 Sep 2006,"Action, Crime, Thriller",27800000.0,6.9,"223,500",Internet Movie Database,6.9,Rotten Tomatoes,6.1,Metacritic,5.7,09,2006
Crossover,30.0,PG-13,95 min,01 Sep 2006,"Action, Sport",7009668.0,2.1,"8,883",Internet Movie Database,2.1,Rotten Tomatoes,0.2,Metacritic,3.0,09,2006
Curious George,62.0,G,87 min,10 Feb 2006,"Animation, Adventure, Comedy, Family, Fantasy",58300000.0,6.5,"14,610",Internet Movie Database,6.5,Rotten Tomatoes,7.0,Metacritic,6.2,02,2006
The Da Vinci Code,46.0,PG-13,149 min,19 May 2006,"Mystery, Thriller",217536138.0,6.6,"375,833",Internet Movie Database,6.6,Rotten Tomatoes,2.5,Metacritic,4.6,05,2006
Date Movie,11.0,PG-13,83 min,17 Feb 2006,"Comedy, Romance",48478234.0,2.8,"55,224",Internet Movie Database,2.8,Rotten Tomatoes,0.7,Metacritic,1.1,02,2006
Dave Chappelle's Block Party,84.0,R,103 min,03 Mar 2006,"Documentary, Comedy, Music",11700000.0,7.2,"8,510",Internet Movie Database,7.2,Rotten Tomatoes,9.2,Metacritic,8.4,03,2006
Deck the Halls,28.0,PG,93 min,22 Nov 2006,"Comedy, Family",35058863.0,4.9,"20,694",Internet Movie Database,4.9,Rotten Tomatoes,0.6,Metacritic,2.8,11,2006
Deliver Us from Evil,40.0,R,118 min,02 Jul 2014,"Horror, Mystery, Thriller",18871466.0,6.2,"64,316",Internet Movie Database,6.2,Rotten Tomatoes,2.8,Metacritic,4.0,07,2014
The Departed,85.0,R,151 min,06 Oct 2006,"Crime, Drama, Thriller",132300000.0,8.5,"1,089,014",Internet Movie Database,8.5,Rotten Tomatoes,9.1,Metacritic,8.5,10,2006
The Devil Wears Prada,62.0,PG-13,109 min,30 Jun 2006,"Comedy, Drama",124700000.0,6.9,"343,682",Internet Movie Database,6.9,Rotten Tomatoes,7.5,Metacritic,6.2,06,2006
DOA: Dead or Alive,38.0,PG-13,87 min,15 Jun 2007,"Action, Adventure",260713.0,4.8,"41,925",Internet Movie Database,4.8,Rotten Tomatoes,3.3,Metacritic,3.8,06,2007
Dreamgirls,76.0,PG-13,130 min,25 Dec 2006,"Drama, Music, Musical",103300000.0,6.5,"64,938",Internet Movie Database,6.5,Rotten Tomatoes,7.8,Metacritic,7.6,12,2006
Employee of the Month,36.0,PG-13,103 min,06 Oct 2006,"Comedy, Romance",28364748.0,5.5,"42,341",Internet Movie Database,5.5,Rotten Tomatoes,2.0,Metacritic,3.6,10,2006
End of the Spear,45.0,PG-13,108 min,20 Jan 2006,"Adventure, Biography, Drama, History",11703287.0,7.0,"4,720",Internet Movie Database,7.0,Rotten Tomatoes,4.0,Metacritic,4.5,01,2006
Eight Below,64.0,PG,120 min,17 Feb 2006,"Adventure, Drama, Family",81593527.0,7.3,"57,152",Internet Movie Database,7.3,Rotten Tomatoes,7.2,Metacritic,6.4,02,2006
