Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
The Gift,77.0,R,108 min,07 Aug 2015,"Drama, Mystery, Thriller",33061006.0,7.0,"125,554",Internet Movie Database,7.0,Rotten Tomatoes,9.2,Metacritic,7.7,08,2015
Girlfight,70.0,R,110 min,06 Oct 2000,"Drama, Sport",778046.0,6.8,"8,940",Internet Movie Database,6.8,Rotten Tomatoes,8.7,Metacritic,7.0,10,2000
The Golden Bowl,62.0,R,130 min,25 May 2001,"Drama, Romance",2178448.0,6.0,"4,057",Internet Movie Database,6.0,Rotten Tomatoes,5.3,Metacritic,6.2,05,2001
Gone in 60 Seconds,35.0,PG-13,118 min,09 Jun 2000,"Action, Crime, Thriller",100978700.0,6.5,"248,030",Internet Movie Database,6.5,Rotten Tomatoes,2.5,Metacritic,3.5,06,2000
Hollow Man,24.0,R,112 min,04 Aug 2000,"Action, Horror, Sci-Fi, Thriller",72055301.0,5.8,"115,994",Internet Movie Database,5.8,Rotten Tomatoes,2.8,Metacritic,2.4,08,2000
How the Grinch Stole Christmas,46.0,PG,104 min,17 Nov 2000,"Comedy, Family, Fantasy",259011600.0,6.1,"185,093",Internet Movie Database,6.1,Rotten Tomatoes,5.1,Metacritic,4.6,11,2000
The Ladies Man,22.0,R,84 min,13 Oct 2000,Comedy,13384928.0,5.2,"11,833",Internet Movie Database,5.2,Rotten Tomatoes,1.1,Metacritic,2.2,10,2000
The Legend of Bagger Vance,47.0,PG-13,126 min,03 Nov 2000,"Drama, Fantasy, Sport",30366277.0,6.7,"50,948",Internet Movie Database,6.7,Rotten Tomatoes,4.3,Metacritic,4.7,11,2000
Little Nicky,38.0,PG-13,90 min,10 Nov 2000,"Comedy, Fantasy",38542597.0,5.3,"92,790",Internet Movie Database,5.3,Rotten Tomatoes,2.2,Metacritic,3.8,11,2000
The Little Vampire,45.0,PG,95 min,27 Oct 2000,"Adventure, Comedy, Family, Fantasy",13432508.0,5.7,"8,925",Internet Movie Database,5.7,Rotten Tomatoes,5.5,Metacritic,4.5,10,2000
Lucky Numbers,31.0,R,105 min,27 Oct 2000,"Comedy, Crime",9534013.0,5.0,"9,464",Internet Movie Database,5.0,Rotten Tomatoes,2.2,Metacritic,3.1,10,2000
"Me, Myself & Irene",49.0,R,116 min,23 Jun 2000,Comedy,560525.0,6.6,"211,245",Internet Movie Database,6.6,Rotten Tomatoes,4.7,Metacritic,4.9,06,2000
Meet the Parents,73.0,PG-13,108 min,06 Oct 2000,"Comedy, Romance",164454835.0,7.0,"295,621",Internet Movie Database,7.0,Rotten Tomatoes,8.4,Metacritic,7.3,10,2000
Memento,80.0,R,113 min,25 May 2001,"Mystery, Thriller",23844220.0,8.4,"1,041,713",Internet Movie Database,8.4,Rotten Tomatoes,9.2,Metacritic,8.0,05,2001
Nutty Professor II: The Klumps,38.0,PG-13,106 min,28 Jul 2000,"Comedy, Romance, Sci-Fi",122385345.0,4.4,"45,929",Internet Movie Database,4.4,Rotten Tomatoes,2.6,Metacritic,3.8,07,2000
"O Brother, Where Art Thou?",69.0,PG-13,107 min,02 Feb 2001,"Adventure, Comedy, Crime, Music",45150731.0,7.7,"267,148",Internet Movie Database,7.7,Rotten Tomatoes,7.7,Metacritic,6.9,02,2001
The Original Kings of Comedy,76.0,R,115 min,18 Aug 2000,"Comedy, Documentary",37680981.0,6.8,"5,104",Internet Movie Database,6.8,Rotten Tomatoes,8.3,Metacritic,7.6,08,2000
The Patriot,63.0,R,165 min,28 Jun 2000,"Action, Drama, History, War",2317507.0,7.2,"239,862",Internet Movie Database,7.2,Rotten Tomatoes,6.1,Metacritic,6.3,06,2000
Pay It Forward,40.0,PG-13,123 min,20 Oct 2000,Drama,32801029.0,7.2,"107,908",Internet Movie Database,7.2,Rotten Tomatoes,4.0,Metacritic,4.0,10,2000
